state,state_fips,zip_code,brnd_name,gnrc_name,totl_day_sply,totl_drg_cost
MA,25,"02169","Humira(Cf) Pen",Adalimumab,1658,331200.5
FL,12,"33166","Humira Pen",Adalimumab,390,71484.53
AL,01,"35976","Humira(Cf) Pen",Adalimumab,608,122544.64
NH,33,"03301","Humira Pen",Adalimumab,1288,377287.33
TX,48,"77082",Humira,Adalimumab,308,59969.58
FL,12,"32308","Humira(Cf) Pen",Adalimumab,336,67161.2
MO,29,"64804","Humira(Cf) Pen",Adalimumab,336,87163.96
TX,48,"78258","Humira(Cf) Pen",Adalimumab,812,163708.33
NY,36,"10041","Humira Pen",Adalimumab,336,65616.72
OH,39,"45440","Humira(Cf) Pen",Adalimumab,308,62359.7
FL,12,"32224","Humira(Cf) Pen",Adalimumab,1108,376870.69
TX,48,"78550","Humira Pen",Adalimumab,532,105188.92
MA,25,"02451","Humira(Cf) Pen",Adalimumab,1862,359443.9
NY,36,"10532",Humira,Adalimumab,462,83366.97
NY,36,"10532","Humira Pen",Adalimumab,830,197858.97
CA,06,"91360",Humira,Adalimumab,716,103802.48
CA,06,"91360","Humira Pen",Adalimumab,1274,232353.01
PA,42,"15213",Humira(Cf),Adalimumab,648,131154.34
PA,42,"15213","Humira(Cf) Pen",Adalimumab,448,86550.86
FL,12,"34601",Humira,Adalimumab,392,82779.64
FL,12,"34601","Humira(Cf) Pen",Adalimumab,364,65233.22
IN,18,"46526","Humira Pen",Adalimumab,364,76292.58
IN,18,"46526","Humira(Cf) Pen",Adalimumab,308,128366.04
AZ,04,"85014","Humira(Cf) Pen",Adalimumab,1820,596029.07
AZ,04,"85712","Humira(Cf) Pen",Adalimumab,560,140563.18
CA,06,"90031","Humira Pen",Adalimumab,364,151714.94
MT,30,"59715",Humira(Cf),Adalimumab,392,76189
LA,22,"71105","Humira Pen",Adalimumab,896,181333.2
LA,22,"71105","Humira(Cf) Pen",Adalimumab,812,170413.39
MN,27,"55455","Humira(Cf) Pen",Adalimumab,364,147739.55
MI,26,"48910","Humira Pen",Adalimumab,644,170588.73
MI,26,"48910",Humira(Cf),Adalimumab,784,156570.45
MI,26,"48910","Humira(Cf) Pen",Adalimumab,784,219507.01
CA,06,"91709","Humira Pen",Adalimumab,308,60340.28
LA,22,"70460","Humira(Cf) Pen",Adalimumab,308,64556.36
HI,15,"96819","Humira Pen",Adalimumab,379,87339.89
MN,27,"55414","Humira(Cf) Pen",Adalimumab,504,154234.47
KY,21,"40743",Humira,Adalimumab,532,147512.7
KY,21,"40743","Humira Pen",Adalimumab,701,137678.62
KY,21,"40743",Humira(Cf),Adalimumab,348,70014.45
KY,21,"40743","Humira(Cf) Pen",Adalimumab,3440,833279.38
ID,16,"83814",Humira(Cf),Adalimumab,588,146427.81
ID,16,"83814","Humira(Cf) Pen",Adalimumab,1316,259831.34
CA,06,"02215",Humira,Adalimumab,392,78175.77
CA,06,"02215","Humira Pen",Adalimumab,422,95032.93
WA,53,"46952","Humira Pen",Adalimumab,364,73708.38
NC,37,"28144","Humira Pen",Adalimumab,448,95135.36
NC,37,"28144","Humira(Cf) Pen",Adalimumab,756,157606.95
NJ,34,"08619","Humira Pen",Adalimumab,336,70017.84
VA,51,"22906",Humira,Adalimumab,364,246469.46
FL,12,"32763","Humira(Cf) Pen",Adalimumab,728,229075.72
KS,20,"66606",Humira,Adalimumab,336,70466.92
CO,08,"80026","Humira Pen",Adalimumab,308,63824.42
CO,08,"80026","Humira(Cf) Pen",Adalimumab,392,81039.13
OK,40,"74701","Humira Pen",Adalimumab,1232,243171.48
OK,40,"74701","Humira(Cf) Pen",Adalimumab,700,162110.89
FL,12,"84145","Humira(Cf) Pen",Adalimumab,364,77075.96
CA,06,"94547","Humira(Cf) Pen",Adalimumab,1512,394276.36
OR,41,"97401","Humira(Cf) Pen",Adalimumab,364,70737.94
NY,36,"14127","Humira(Cf) Pen",Adalimumab,1068,347684.94
