state,state_fips,zip_code,brnd_name,gnrc_name,totl_day_sply,totl_drg_cost
MA,25,"02169","Enbrel Sureclick",Etanercept,784,153471.58
CA,06,"94022",Enbrel,Etanercept,336,71351.16
NY,36,"10532",Enbrel,Etanercept,504,102323.61
PA,42,"15213","Enbrel Sureclick",Etanercept,364,77041.87
WA,53,"99019",Enbrel,Etanercept,336,57577.11
MD,24,"20902","Enbrel Sureclick",Etanercept,868,171926.19
MT,30,"59715","Enbrel Sureclick",Etanercept,380,90540.04
CT,09,"06106","Enbrel Sureclick",Etanercept,728,147776.51
MI,26,"48910",Enbrel,Etanercept,896,172825.11
MI,26,"48910","Enbrel Mini",Etanercept,420,79421.61
CA,06,"91709",Enbrel,Etanercept,336,68983.2
CA,06,"91709","Enbrel Sureclick",Etanercept,422,85113.84
KY,21,"40743","Enbrel Sureclick",Etanercept,1064,223202.47
ID,16,"83814",Enbrel,Etanercept,504,100383.34
ID,16,"83814","Enbrel Mini",Etanercept,728,153145.64
ID,16,"83814","Enbrel Sureclick",Etanercept,896,180937.05
CA,06,"02215",Enbrel,Etanercept,308,50998.44
GA,13,"31501","Enbrel Sureclick",Etanercept,588,123209.33
OK,40,"74701",Enbrel,Etanercept,706,142178.46
OK,40,"74701","Enbrel Sureclick",Etanercept,1422,271277.18
AZ,04,"86503","Enbrel Sureclick",Etanercept,364,70068.27
TX,48,"75284","Enbrel Sureclick",Etanercept,1512,304287.08
IL,17,"60153","Enbrel Sureclick",Etanercept,594,145900.96
MN,27,"55407",Enbrel,Etanercept,512,105780.94
AL,01,"36305",Enbrel,Etanercept,2992,593838.58
AL,01,"36305","Enbrel Sureclick",Etanercept,1434,339854.21
AR,05,"72719",Enbrel,Etanercept,364,75891.77
CT,09,"06401","Enbrel Sureclick",Etanercept,336,69618.66
NC,37,"28204","Enbrel Sureclick",Etanercept,364,77297.09
FL,12,"33437","Enbrel Mini",Etanercept,616,124568.6
AZ,04,"85032",Enbrel,Etanercept,364,77061.59
AZ,04,"85032","Enbrel Mini",Etanercept,644,125667.58
AZ,04,"85032","Enbrel Sureclick",Etanercept,1344,265365.47
CA,06,"93130","Enbrel Mini",Etanercept,728,150811.9
CA,06,"93130","Enbrel Sureclick",Etanercept,1322,272188.46
CA,06,"90211",Enbrel,Etanercept,800,163127.06
PR,72,"00707","Enbrel Sureclick",Etanercept,364,73396.05
MO,29,"63110","Enbrel Sureclick",Etanercept,2323,468804.34
FL,12,"33558","Enbrel Sureclick",Etanercept,336,65071.19
CA,06,"91343",Enbrel,Etanercept,448,93695.04
CA,06,"91343","Enbrel Sureclick",Etanercept,2604,534285.63
FL,12,"34769","Enbrel Mini",Etanercept,420,84796.4
FL,12,"34769","Enbrel Sureclick",Etanercept,934,183339.2
GA,13,"30033",Enbrel,Etanercept,784,159222.16
GA,13,"30033","Enbrel Mini",Etanercept,812,165655.55
GA,13,"30033","Enbrel Sureclick",Etanercept,2268,455820.46
NJ,34,"08816","Enbrel Sureclick",Etanercept,420,86580.68
FL,12,"34209",Enbrel,Etanercept,672,133064.38
FL,12,"34209","Enbrel Sureclick",Etanercept,1350,263845.14
KS,20,"67502","Enbrel Sureclick",Etanercept,1792,370903.92
PA,42,"19401",Enbrel,Etanercept,476,98848.37
CA,06,"95816","Enbrel Sureclick",Etanercept,364,60121.56
OR,41,"97339","Enbrel Sureclick",Etanercept,1520,303566.84
FL,12,"33509",Enbrel,Etanercept,392,82833.33
PA,42,"17837",Enbrel,Etanercept,336,71351.16
IN,18,"46219","Enbrel Sureclick",Etanercept,1373,283126.73
AR,05,"72401",Enbrel,Etanercept,1812,363014.39
AR,05,"72401","Enbrel Sureclick",Etanercept,1711,354161.38
FL,12,"34684","Enbrel Mini",Etanercept,616,125028.8
NY,36,"14534","Enbrel Sureclick",Etanercept,672,192099.2
NY,36,"10029","Enbrel Sureclick",Etanercept,924,187704.26
IN,18,"47304",Enbrel,Etanercept,1736,356408.73
IN,18,"47304","Enbrel Sureclick",Etanercept,1652,378235.97
NC,37,"28275","Enbrel Sureclick",Etanercept,1148,237844.34
NY,36,"10314","Enbrel Sureclick",Etanercept,1872,368860.72
TN,47,"37660","Enbrel Sureclick",Etanercept,4361,951244.35
MD,24,"20735","Enbrel Sureclick",Etanercept,1960,402668.76
FL,12,"33542","Enbrel Sureclick",Etanercept,2100,427513.55
IL,17,"60605","Enbrel Sureclick",Etanercept,2524,512378.9
MI,26,"48108",Enbrel,Etanercept,532,104517.81
MI,26,"48108","Enbrel Mini",Etanercept,378,75357.9
MI,26,"48108","Enbrel Sureclick",Etanercept,728,134871.57
MI,26,"48603",Enbrel,Etanercept,980,184804
OH,39,"44131","Enbrel Sureclick",Etanercept,504,121533.66
TX,48,"75069","Enbrel Mini",Etanercept,616,126543.56
TX,48,"75069","Enbrel Sureclick",Etanercept,1904,352636.85
WI,55,"54220","Enbrel Sureclick",Etanercept,336,75106.76
PA,42,"19140","Enbrel Sureclick",Etanercept,1120,214645.53
AZ,04,"85225","Enbrel Mini",Etanercept,392,81664.53
AZ,04,"85225","Enbrel Sureclick",Etanercept,784,162289.31
LA,22,"70458","Enbrel Sureclick",Etanercept,364,74163.25
CA,06,"91360","Enbrel Sureclick",Etanercept,1064,206975.72
PA,42,"17822","Enbrel Sureclick",Etanercept,672,129177.52
NY,36,"10021","Enbrel Mini",Etanercept,532,105943.96
NC,37,"28732",Enbrel,Etanercept,308,64809.44
AZ,04,"85718",Enbrel,Etanercept,476,92291.69
VA,51,"20186","Enbrel Mini",Etanercept,336,66610.24
MS,28,"39564",Enbrel,Etanercept,420,86933.19
MS,28,"39564","Enbrel Mini",Etanercept,728,151412.15
MS,28,"39564","Enbrel Sureclick",Etanercept,3028,628046.24
WA,53,"98112",Enbrel,Etanercept,364,60076.89
CA,06,"92807",Enbrel,Etanercept,2679,437322.22
CA,06,"92807","Enbrel Sureclick",Etanercept,1824,300696.96
TN,47,"37660","Enbrel Mini",Etanercept,1204,238457.34
TN,47,"37660","Enbrel Sureclick",Etanercept,3176,652377.66
CA,06,"92880","Enbrel Mini",Etanercept,1092,221513.87
CA,06,"92880","Enbrel Sureclick",Etanercept,1290,249617.72
LA,22,"71106",Enbrel,Etanercept,1828,405968.44
LA,22,"71106","Enbrel Mini",Etanercept,2660,548190.64
GA,13,"03104",Enbrel,Etanercept,812,162880.62
GA,13,"03104","Enbrel Sureclick",Etanercept,1484,300682.23
MN,27,"55805","Enbrel Sureclick",Etanercept,588,116379.78
NY,36,"14221","Enbrel Sureclick",Etanercept,1568,303094.25
NJ,34,"08830",Enbrel,Etanercept,966,183267.77
NJ,34,"08830","Enbrel Sureclick",Etanercept,928,187279.69
CA,06,"92056","Enbrel Sureclick",Etanercept,308,65234.37
VA,51,"94611","Enbrel Sureclick",Etanercept,308,65405.23
WA,53,"98101","Enbrel Sureclick",Etanercept,1686,340516.66
PA,42,"19063",Enbrel,Etanercept,420,85405.39
CA,06,"92193","Enbrel Sureclick",Etanercept,420,79920.27
GA,13,"33169","Enbrel Sureclick",Etanercept,324,64182.69
OH,39,"34110","Enbrel Sureclick",Etanercept,336,70075.32
TX,48,"77070","Enbrel Sureclick",Etanercept,756,154466.31
CA,06,"95204",Enbrel,Etanercept,308,62234.7
NC,37,"27710",Enbrel,Etanercept,812,163674.76
NH,33,"03756","Enbrel Sureclick",Etanercept,1260,243247.18
WV,54,"26807",Enbrel,Etanercept,308,62691.63
KY,21,"40743","Enbrel Mini",Etanercept,392,78770.63
KY,21,"40743","Enbrel Sureclick",Etanercept,1036,207110.47
NY,36,"10028",Enbrel,Etanercept,308,66038.5
IL,17,"60016","Enbrel Sureclick",Etanercept,924,177899.27
FL,12,"34109",Enbrel,Etanercept,644,120631.01
FL,12,"34109","Enbrel Sureclick",Etanercept,2716,539747.89
FL,12,"32114",Enbrel,Etanercept,954,191318.79
