state,state_fips,zip_code,brnd_name,gnrc_name,totl_day_sply,totl_drg_cost
OH,39,"43055",Trintellix,"Vortioxetine Hydrobromide",570,7962.68
AZ,04,"85255",Trintellix,"Vortioxetine Hydrobromide",480,6362.8
MA,25,"01609",Trintellix,"Vortioxetine Hydrobromide",3540,47013.71
MD,24,"21229",Trintellix,"Vortioxetine Hydrobromide",1170,15359.54
GA,13,"31908",Trintellix,"Vortioxetine Hydrobromide",1827,25258.26
TX,48,"58501",Trintellix,"Vortioxetine Hydrobromide",689,11013.16
MT,30,"59847",Trintellix,"Vortioxetine Hydrobromide",366,5082.22
IA,19,"52655",Trintellix,"Vortioxetine Hydrobromide",748,10407.65
MA,25,"02649",Trintellix,"Vortioxetine Hydrobromide",1080,15141.92
CA,06,"94565",Trintellix,"Vortioxetine Hydrobromide",330,4686.66
FL,12,"34109",Trintellix,"Vortioxetine Hydrobromide",450,6251.48
OR,41,"97702",Trintellix,"Vortioxetine Hydrobromide",854,11694.27
PA,42,"17033",Trintellix,"Vortioxetine Hydrobromide",1410,18867.93
TN,47,"37129",Trintellix,"Vortioxetine Hydrobromide",480,6568.04
KS,20,"66160",Trintellix,"Vortioxetine Hydrobromide",330,9081.6
OH,39,"44060",Trintellix,"Vortioxetine Hydrobromide",900,12233.09
TX,48,"77042",Trintellix,"Vortioxetine Hydrobromide",3810,51265.73
WV,54,"26208",Trintellix,"Vortioxetine Hydrobromide",1020,14213.62
MO,29,"65808",Trintellix,"Vortioxetine Hydrobromide",690,9527.26
MO,29,"95670",Trintellix,"Vortioxetine Hydrobromide",600,8088.78
PA,42,"16146",Trintellix,"Vortioxetine Hydrobromide",630,9354.01
WA,53,"02115",Trintellix,"Vortioxetine Hydrobromide",484,7306.63
TN,47,"37072",Trintellix,"Vortioxetine Hydrobromide",1230,17069.38
TX,48,"78214",Trintellix,"Vortioxetine Hydrobromide",2310,30426.95
MI,26,"49766",Trintellix,"Vortioxetine Hydrobromide",2294,31856.72
TX,48,"78257",Trintellix,"Vortioxetine Hydrobromide",569,8194.89
KY,21,"47150",Trintellix,"Vortioxetine Hydrobromide",1784,24426.28
KY,21,"41653",Trintellix,"Vortioxetine Hydrobromide",360,5004.38
MD,24,"21204",Trintellix,"Vortioxetine Hydrobromide",2232,31029.44
NY,36,"11725",Trintellix,"Vortioxetine Hydrobromide",1140,14833.34
NM,35,"87109",Trintellix,"Vortioxetine Hydrobromide",660,8974.72
AZ,04,"86304",Trintellix,"Vortioxetine Hydrobromide",390,5425.78
NM,35,"87124",Trintellix,"Vortioxetine Hydrobromide",930,12154.5
MA,25,"02467",Trintellix,"Vortioxetine Hydrobromide",3304,45313.01
VA,51,"24541",Trintellix,"Vortioxetine Hydrobromide",420,5942.48
IN,18,"46617",Trintellix,"Vortioxetine Hydrobromide",1860,24751.26
NH,33,"03756",Trintellix,"Vortioxetine Hydrobromide",330,4546.62
TN,47,"37841",Trintellix,"Vortioxetine Hydrobromide",1050,14409.62
OH,39,"44460",Trintellix,"Vortioxetine Hydrobromide",1050,15393.62
