state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost
AL,Humira,277048.0,64439906.41,232.59,Adalimumab,0,0,N/A
AK,Humira,23499.0,5831584.01,248.16,Adalimumab,0,0,N/A
AZ,Humira,219087.0,51918361.73,236.98,Adalimumab,0,0,N/A
AR,Humira,94046.0,21695247.86,230.69,Adalimumab,0,0,N/A
CA,Humira,1244632.0,265795094.93,213.55,Adalimumab,0,0,N/A
CO,Humira,183682.0,40450562.74,220.22,Adalimumab,0,0,N/A
CT,Humira,138756.0,33966784.88,244.8,Adalimumab,0,0,N/A
DE,Humira,44432.0,10336971.44,232.65,Adalimumab,0,0,N/A
FL,Humira,894642.0,206912240.0,231.28,Adalimumab,0,0,N/A
GA,Humira,459520.0,108049916.29,235.14,Adalimumab,0,0,N/A
HI,Humira,35097.0,7303831.63,208.1,Adalimumab,0,0,N/A
ID,Humira,73054.0,17060515.82,233.53,Adalimumab,0,0,N/A
IL,Humira,475899.0,109535790.83,230.17,Adalimumab,0,0,N/A
IN,Humira,256983.0,62230022.83,242.16,Adalimumab,0,0,N/A
IA,Humira,95195.0,22086615.07,232.01,Adalimumab,0,0,N/A
KS,Humira,82490.0,19333740.92,234.38,Adalimumab,0,0,N/A
KY,Humira,263259.0,62431251.97,237.15,Adalimumab,0,0,N/A
LA,Humira,236090.0,55483339.57,235.01,Adalimumab,0,0,N/A
ME,Humira,89350.0,20829392.41,233.12,Adalimumab,0,0,N/A
MD,Humira,173450.0,39397342.78,227.14,Adalimumab,0,0,N/A
MA,Humira,484928.0,112873823.3,232.76,Adalimumab,0,0,N/A
MI,Humira,610215.0,137422139.37,225.2,Adalimumab,0,0,N/A
MN,Humira,168207.0,39863812.28,236.99,Adalimumab,0,0,N/A
MS,Humira,141836.0,33552728.68,236.56,Adalimumab,0,0,N/A
MO,Humira,259605.0,62866042.37,242.16,Adalimumab,0,0,N/A
MT,Humira,52778.0,12812364.84,242.76,Adalimumab,0,0,N/A
NE,Humira,40393.0,9536923.07,236.1,Adalimumab,0,0,N/A
NV,Humira,74888.0,16972783.99,226.64,Adalimumab,0,0,N/A
NH,Humira,71248.0,16239486.88,227.93,Adalimumab,0,0,N/A
NJ,Humira,289784.0,63871359.47,220.41,Adalimumab,0,0,N/A
NM,Humira,108284.0,23946112.3,221.14,Adalimumab,0,0,N/A
NY,Humira,924167.0,204722301.94,221.52,Adalimumab,0,0,N/A
NC,Humira,528407.0,131066586.39,248.04,Adalimumab,0,0,N/A
ND,Humira,21181.0,4967356.06,234.52,Adalimumab,0,0,N/A
OH,Humira,473027.0,109090601.69,230.62,Adalimumab,0,0,N/A
OK,Humira,151007.0,34738234.94,230.04,Adalimumab,0,0,N/A
OR,Humira,165997.0,36201743.98,218.09,Adalimumab,0,0,N/A
PA,Humira,610982.0,143951853.69,235.61,Adalimumab,0,0,N/A
RI,Humira,37250.0,8453727.04,226.95,Adalimumab,0,0,N/A
SC,Humira,305756.0,73968490.02,241.92,Adalimumab,0,0,N/A
SD,Humira,29509.0,6803793.53,230.57,Adalimumab,0,0,N/A
TN,Humira,385588.0,90681483.77,235.18,Adalimumab,0,0,N/A
TX,Humira,1012095.0,233039287.42,230.25,Adalimumab,0,0,N/A
UT,Humira,59182.0,13096491.48,221.29,Adalimumab,0,0,N/A
VT,Humira,38759.0,8762208.3,226.07,Adalimumab,0,0,N/A
VA,Humira,236935.0,57924418.23,244.47,Adalimumab,0,0,N/A
WA,Humira,252234.0,56171464.5,222.7,Adalimumab,0,0,N/A
WV,Humira,120348.0,27817072.42,231.14,Adalimumab,0,0,N/A
WI,Humira,319720.0,74979947.79,234.52,Adalimumab,0,0,N/A
WY,Humira,18122.0,4635087.73,255.77,Adalimumab,0,0,N/A
