state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,hypothetical_savings
AL,Humira Pen,63630,14473022.48,227.46,Adalimumab,0,0,N/A,100.0,N/A
AK,Humira Pen,2184,454866.72,208.27,Adalimumab,0,0,N/A,100.0,N/A
AZ,Humira Pen,59446,14043145.91,236.23,Adalimumab,0,0,N/A,100.0,N/A
AR,Humira Pen,24309,5426554.99,223.23,Adalimumab,0,0,N/A,100.0,N/A
CA,Humira Pen,470023,96741577.15,205.82,Adalimumab,0,0,N/A,100.0,N/A
CO,Humira Pen,75801,15620486.0,206.07,Adalimumab,0,0,N/A,100.0,N/A
CT,Humira Pen,34766,8459472.25,243.33,Adalimumab,0,0,N/A,100.0,N/A
DE,Humira Pen,15696,3526116.04,224.65,Adalimumab,0,0,N/A,100.0,N/A
FL,Humira Pen,205613,46593282.67,226.61,Adalimumab,0,0,N/A,100.0,N/A
GA,Humira Pen,119266,26873913.76,225.33,Adalimumab,0,0,N/A,100.0,N/A
HI,Humira Pen,6138,1150638.79,187.46,Adalimumab,0,0,N/A,100.0,N/A
ID,Humira Pen,11558,2660027.97,230.15,Adalimumab,0,0,N/A,100.0,N/A
IL,Humira Pen,155315,35027336.11,225.52,Adalimumab,0,0,N/A,100.0,N/A
IN,Humira Pen,62671,15019893.72,239.66,Adalimumab,0,0,N/A,100.0,N/A
IA,Humira Pen,31409,7293464.22,232.21,Adalimumab,0,0,N/A,100.0,N/A
KS,Humira Pen,21145,4685375.76,221.58,Adalimumab,0,0,N/A,100.0,N/A
KY,Humira Pen,84513,19325110.74,228.66,Adalimumab,0,0,N/A,100.0,N/A
LA,Humira Pen,61444,15158670.19,246.71,Adalimumab,0,0,N/A,100.0,N/A
ME,Humira Pen,23806,5612544.44,235.76,Adalimumab,0,0,N/A,100.0,N/A
MD,Humira Pen,64673,14399892.55,222.66,Adalimumab,0,0,N/A,100.0,N/A
MA,Humira Pen,151905,35343355.5,232.67,Adalimumab,0,0,N/A,100.0,N/A
MI,Humira Pen,209712,47216349.7,225.15,Adalimumab,0,0,N/A,100.0,N/A
MN,Humira Pen,65465,15042747.39,229.78,Adalimumab,0,0,N/A,100.0,N/A
MS,Humira Pen,30404,6964833.61,229.08,Adalimumab,0,0,N/A,100.0,N/A
MO,Humira Pen,76884,17779884.32,231.26,Adalimumab,0,0,N/A,100.0,N/A
MT,Humira Pen,15461,3563639.07,230.49,Adalimumab,0,0,N/A,100.0,N/A
NE,Humira Pen,12138,2775193.8,228.64,Adalimumab,0,0,N/A,100.0,N/A
NV,Humira Pen,13422,3071654.98,228.85,Adalimumab,0,0,N/A,100.0,N/A
NH,Humira Pen,27296,6271586.81,229.76,Adalimumab,0,0,N/A,100.0,N/A
NJ,Humira Pen,85365,18270565.17,214.03,Adalimumab,0,0,N/A,100.0,N/A
NM,Humira Pen,31177,6968880.52,223.53,Adalimumab,0,0,N/A,100.0,N/A
NY,Humira Pen,276268,60096292.24,217.53,Adalimumab,0,0,N/A,100.0,N/A
NC,Humira Pen,134860,32370263.49,240.03,Adalimumab,0,0,N/A,100.0,N/A
ND,Humira Pen,12349,2866199.47,232.1,Adalimumab,0,0,N/A,100.0,N/A
OH,Humira Pen,134415,30880851.01,229.74,Adalimumab,0,0,N/A,100.0,N/A
OK,Humira Pen,42309,9290733.82,219.59,Adalimumab,0,0,N/A,100.0,N/A
OR,Humira Pen,58076,12347264.26,212.61,Adalimumab,0,0,N/A,100.0,N/A
PA,Humira Pen,195731,46132003.55,235.69,Adalimumab,0,0,N/A,100.0,N/A
RI,Humira Pen,9815,2336658.85,238.07,Adalimumab,0,0,N/A,100.0,N/A
SC,Humira Pen,83761,20065210.48,239.55,Adalimumab,0,0,N/A,100.0,N/A
SD,Humira Pen,9205,2059997.85,223.79,Adalimumab,0,0,N/A,100.0,N/A
TN,Humira Pen,101873,24289678.8,238.43,Adalimumab,0,0,N/A,100.0,N/A
TX,Humira Pen,237403,54839754.06,231.0,Adalimumab,0,0,N/A,100.0,N/A
UT,Humira Pen,17213,3802647.62,220.92,Adalimumab,0,0,N/A,100.0,N/A
VT,Humira Pen,7213,1491256.34,206.75,Adalimumab,0,0,N/A,100.0,N/A
VA,Humira Pen,65755,16010536.97,243.49,Adalimumab,0,0,N/A,100.0,N/A
WA,Humira Pen,86903,19277012.66,221.82,Adalimumab,0,0,N/A,100.0,N/A
WV,Humira Pen,30675,7314523.48,238.45,Adalimumab,0,0,N/A,100.0,N/A
WI,Humira Pen,87322,20798086.83,238.18,Adalimumab,0,0,N/A,100.0,N/A
WY,Humira Pen,7272,1855142.19,255.11,Adalimumab,0,0,N/A,100.0,N/A
