state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,hypothetical_savings
AL,Lipitor,360,5523.6,15.34,Atorvastatin Calcium,58097308,11619203.9,0.2,0.00062,5450.4
AK,Lipitor,6310,81597.3,12.93,Atorvastatin Calcium,4568548,1281577.54,0.28,0.137928,79821.5
AZ,Lipitor,3720,51951.48,13.97,Atorvastatin Calcium,75474552,15067108.3,0.2,0.004929,51224.4
AR,Lipitor,1770,24622.85,13.91,Atorvastatin Calcium,33873917,6310097.61,0.19,0.005225,24284.4
CA,Lipitor,96117,643834.21,6.7,Atorvastatin Calcium,471460383,92805875.67,0.2,0.020383,624760.5
CO,Lipitor,2790,39951.96,14.32,Atorvastatin Calcium,55672294,10960437.79,0.2,0.005011,39394.8
CT,Lipitor,105767,1332883.78,12.6,Atorvastatin Calcium,50287371,11237858.58,0.22,0.209884,1309395.46
DE,Lipitor,2610,32733.62,12.54,Atorvastatin Calcium,15217586,3467852.65,0.23,0.017148,32129.1
FL,Lipitor,39339,524638.85,13.34,Atorvastatin Calcium,296816400,56330300.94,0.19,0.013252,517307.85
GA,Lipitor,5145,72395.58,14.07,Atorvastatin Calcium,101279142,19350192.1,0.19,0.00508,71412.6
HI,Lipitor,9795,143684.47,14.67,Atorvastatin Calcium,18206990,2944044.83,0.16,0.053769,142125.45
ID,Lipitor,660,8407.11,12.74,Atorvastatin Calcium,17963785,3689066.59,0.21,0.003674,8269.8
IL,Lipitor,24501,340226.48,13.89,Atorvastatin Calcium,153982815,34237963.8,0.22,0.015909,334928.67
IN,Lipitor,4409,60073.67,13.63,Atorvastatin Calcium,92987644,19765984.83,0.21,0.004741,59168.78
IA,Lipitor,12394,164135.98,13.24,Atorvastatin Calcium,43794761,7972080.6,0.18,0.028292,161865.64
KS,Lipitor,0,0,N/A,Atorvastatin Calcium,34096870,6286347.39,0.18,0.0,N/A
KY,Lipitor,2940,38807.72,13.2,Atorvastatin Calcium,59696722,12220310.67,0.2,0.004925,38220.0
LA,Lipitor,1410,22278.21,15.8,Atorvastatin Calcium,56998246,10244988.11,0.18,0.002474,22024.2
ME,Lipitor,480,7467.52,15.56,Atorvastatin Calcium,21979644,6180109.12,0.28,0.002184,7334.4
MD,Lipitor,3330,47699.55,14.32,Atorvastatin Calcium,59300739,13694461.63,0.23,0.005615,46919.7
MA,Lipitor,22339,315234.34,14.11,Atorvastatin Calcium,98920037,22005639.91,0.22,0.022578,310288.71
MI,Lipitor,182833,2351553.92,12.86,Atorvastatin Calcium,141996203,38939260.99,0.27,0.128594,2301867.47
MN,Lipitor,2884,33506.88,11.62,Atorvastatin Calcium,69260929,15721525.93,0.23,0.004164,32848.76
MS,Lipitor,1350,16816.18,12.46,Atorvastatin Calcium,30360756,5712942.84,0.19,0.004446,16564.5
MO,Lipitor,19655,250667.36,12.75,Atorvastatin Calcium,81122924,15195870.12,0.19,0.024223,246866.8
MT,Lipitor,0,0,N/A,Atorvastatin Calcium,10986020,2236909.14,0.2,0.0,N/A
NE,Lipitor,8947,106032.81,11.85,Atorvastatin Calcium,22566119,4330896.41,0.19,0.039632,104322.02
NV,Lipitor,1230,18333.22,14.91,Atorvastatin Calcium,34729142,5889490.31,0.17,0.003542,18130.2
NH,Lipitor,1282,17166.75,13.39,Atorvastatin Calcium,18297004,4397063.5,0.24,0.007006,16858.3
NJ,Lipitor,188792,2422811.35,12.83,Atorvastatin Calcium,107177940,21116468.09,0.2,0.175838,2384442.96
NM,Lipitor,360,4089.0,11.36,Atorvastatin Calcium,18115324,4229873.94,0.23,0.001987,4006.8
NY,Lipitor,128327,1698247.0,13.23,Atorvastatin Calcium,256300055,50771692.71,0.2,0.050044,1672100.81
NC,Lipitor,13336,182787.67,13.71,Atorvastatin Calcium,121752183,24394916.45,0.2,0.010952,180169.36
ND,Lipitor,360,5776.68,16.05,Atorvastatin Calcium,8040586,1743409.81,0.22,0.004477,5698.8
OH,Lipitor,8411,117889.82,14.02,Atorvastatin Calcium,173743390,40651757.42,0.23,0.004841,115987.69
OK,Lipitor,1170,14164.37,12.11,Atorvastatin Calcium,37957795,8624421.85,0.23,0.003082,13899.6
OR,Lipitor,2670,31630.7,11.85,Atorvastatin Calcium,52611672,11036153.77,0.21,0.005075,31078.8
PA,Lipitor,104274,1370382.86,13.14,Atorvastatin Calcium,196347561,47740616.12,0.24,0.053079,1345134.6
