state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,hypothetical_savings
AL,Aricept,346,6179.93,17.86,Donepezil Hcl,6879069,2297453.06,0.33,0.005029,6065.38
AK,Aricept,0,0,N/A,Donepezil Hcl,168403,75324.27,0.45,0.0,N/A
AZ,Aricept,0,0,N/A,Donepezil Hcl,5804976,1906883.56,0.33,0.0,N/A
AR,Aricept,0,0,N/A,Donepezil Hcl,3336830,962829.53,0.29,0.0,N/A
CA,Aricept,3882,69468.35,17.89,Donepezil Hcl,29961789,9171190.63,0.31,0.012955,68245.56
CO,Aricept,360,6003.24,16.68,Donepezil Hcl,2716926,1034686.56,0.38,0.013249,5868.0
CT,Aricept,360,5940.84,16.5,Donepezil Hcl,3217329,1176484.62,0.37,0.011188,5806.8
DE,Aricept,0,0,N/A,Donepezil Hcl,701314,237895.42,0.34,0.0,N/A
FL,Aricept,2786,46916.43,16.84,Donepezil Hcl,30035168,7892020.87,0.26,0.009275,46191.88
GA,Aricept,364,6369.74,17.5,Donepezil Hcl,9962783,3582999.57,0.36,0.003653,6238.96
HI,Aricept,0,0,N/A,Donepezil Hcl,1039174,301201.76,0.29,0.0,N/A
ID,Aricept,0,0,N/A,Donepezil Hcl,1016121,335873.45,0.33,0.0,N/A
IL,Aricept,374,5952.43,15.92,Donepezil Hcl,11354050,4104141.93,0.36,0.003294,5819.44
IN,Aricept,0,0,N/A,Donepezil Hcl,7397712,2768789.64,0.37,0.0,N/A
IA,Aricept,600,9407.8,15.68,Donepezil Hcl,3184137,1159810.02,0.36,0.01884,9192.0
KS,Aricept,0,0,N/A,Donepezil Hcl,3044878,986615.41,0.32,0.0,N/A
KY,Aricept,0,0,N/A,Donepezil Hcl,5678956,1889328.72,0.33,0.0,N/A
LA,Aricept,358,3928.49,10.97,Donepezil Hcl,4975167,1458024.94,0.29,0.007195,3823.44
ME,Aricept,0,0,N/A,Donepezil Hcl,887490,357002.86,0.4,0.0,N/A
MD,Aricept,0,0,N/A,Donepezil Hcl,3691206,1471186.96,0.4,0.0,N/A
MA,Aricept,0,0,N/A,Donepezil Hcl,5825360,2147404.93,0.37,0.0,N/A
MI,Aricept,0,0,N/A,Donepezil Hcl,9805654,3735617.36,0.38,0.0,N/A
MN,Aricept,589,16499.21,28.01,Donepezil Hcl,4308193,1541499.75,0.36,0.01367,16285.85
MS,Aricept,0,0,N/A,Donepezil Hcl,3965676,1130631.05,0.29,0.0,N/A
MO,Aricept,360,6133.8,17.04,Donepezil Hcl,7077738,2381877.05,0.34,0.005086,6012.0
MT,Aricept,0,0,N/A,Donepezil Hcl,688379,212933.1,0.31,0.0,N/A
NE,Aricept,0,0,N/A,Donepezil Hcl,1878329,686383.87,0.37,0.0,N/A
NV,Aricept,0,0,N/A,Donepezil Hcl,2317028,657242.9,0.28,0.0,N/A
NH,Aricept,0,0,N/A,Donepezil Hcl,1000931,398663.83,0.4,0.0,N/A
NJ,Aricept,1050,17264.73,16.44,Donepezil Hcl,8137398,2832858.55,0.35,0.012902,16894.5
NM,Aricept,0,0,N/A,Donepezil Hcl,1335365,513835.13,0.38,0.0,N/A
NY,Aricept,4004,73476.99,18.35,Donepezil Hcl,19128305,6582908.67,0.34,0.020928,72112.04
NC,Aricept,0,0,N/A,Donepezil Hcl,10772198,3569371.82,0.33,0.0,N/A
ND,Aricept,0,0,N/A,Donepezil Hcl,706399,253999.5,0.36,0.0,N/A
OH,Aricept,524,14598.58,27.86,Donepezil Hcl,13412229,5277783.71,0.39,0.003907,14394.28
OK,Aricept,0,0,N/A,Donepezil Hcl,3672686,1374573.67,0.37,0.0,N/A
OR,Aricept,0,0,N/A,Donepezil Hcl,3206797,1249074.44,0.39,0.0,N/A
PA,Aricept,780,12711.06,16.3,Donepezil Hcl,13488985,5622199.03,0.42,0.005782,12386.4
RI,Aricept,0,0,N/A,Donepezil Hcl,1064076,383041.08,0.36,0.0,N/A
SC,Aricept,3450,59343.42,17.2,Donepezil Hcl,5650812,2061728.78,0.36,0.061016,58098.0
SD,Aricept,0,0,N/A,Donepezil Hcl,801060,287486.08,0.36,0.0,N/A
TN,Aricept,0,0,N/A,Donepezil Hcl,8715287,2967454.39,0.34,0.0,N/A
TX,Aricept,1620,34025.39,21.0,Donepezil Hcl,25278380,8497269.62,0.34,0.006408,33469.2
UT,Aricept,0,0,N/A,Donepezil Hcl,1455917,416345.92,0.29,0.0,N/A
VT,Aricept,330,1207.63,3.66,Donepezil Hcl,479815,157231.9,0.33,0.068729,1098.9
VA,Aricept,360,5837.43,16.22,Donepezil Hcl,6399269,2440775.88,0.38,0.005625,5702.4
WA,Aricept,750,10439.48,13.92,Donepezil Hcl,4146561,1452869.61,0.35,0.018084,10177.5
WV,Aricept,0,0,N/A,Donepezil Hcl,2098765,667844.46,0.32,0.0,N/A
WI,Aricept,0,0,N/A,Donepezil Hcl,5270160,1884025.54,0.36,0.0,N/A
WY,Aricept,0,0,N/A,Donepezil Hcl,286857,114596.2,0.4,0.0,N/A
