state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,hypothetical_savings
AL,Enbrel,159434,33297390.25,208.85,Etanercept,0,0,N/A,100.0,N/A
AK,Enbrel,7336,1504314.58,205.06,Etanercept,0,0,N/A,100.0,N/A
AZ,Enbrel,176273,35841299.07,203.33,Etanercept,0,0,N/A,100.0,N/A
AR,Enbrel,68200,14057205.42,206.12,Etanercept,0,0,N/A,100.0,N/A
CA,Enbrel,976189,187055013.76,191.62,Etanercept,0,0,N/A,100.0,N/A
CO,Enbrel,135492,25791823.45,190.36,Etanercept,0,0,N/A,100.0,N/A
CT,Enbrel,105452,21045172.1,199.57,Etanercept,0,0,N/A,100.0,N/A
DE,Enbrel,29826,5923715.41,198.61,Etanercept,0,0,N/A,100.0,N/A
FL,Enbrel,563159,114929912.24,204.08,Etanercept,0,0,N/A,100.0,N/A
GA,Enbrel,285984,57941635.53,202.6,Etanercept,0,0,N/A,100.0,N/A
HI,Enbrel,23044,4078757.81,177.0,Etanercept,0,0,N/A,100.0,N/A
ID,Enbrel,34632,7000458.46,202.14,Etanercept,0,0,N/A,100.0,N/A
IL,Enbrel,282923,57439035.69,203.02,Etanercept,0,0,N/A,100.0,N/A
IN,Enbrel,175013,35090884.52,200.5,Etanercept,0,0,N/A,100.0,N/A
IA,Enbrel,45507,9215791.18,202.51,Etanercept,0,0,N/A,100.0,N/A
KS,Enbrel,47090,9751268.4,207.08,Etanercept,0,0,N/A,100.0,N/A
KY,Enbrel,166134,33969743.7,204.47,Etanercept,0,0,N/A,100.0,N/A
LA,Enbrel,103444,21250056.0,205.43,Etanercept,0,0,N/A,100.0,N/A
ME,Enbrel,42304,8354878.31,197.5,Etanercept,0,0,N/A,100.0,N/A
MD,Enbrel,101727,19727503.69,193.93,Etanercept,0,0,N/A,100.0,N/A
MA,Enbrel,322669,64541782.67,200.02,Etanercept,0,0,N/A,100.0,N/A
MI,Enbrel,484872,94547066.4,194.99,Etanercept,0,0,N/A,100.0,N/A
MN,Enbrel,117533,23804401.91,202.53,Etanercept,0,0,N/A,100.0,N/A
MS,Enbrel,76615,15888022.43,207.37,Etanercept,0,0,N/A,100.0,N/A
MO,Enbrel,134231,27821894.23,207.27,Etanercept,0,0,N/A,100.0,N/A
MT,Enbrel,36299,7365363.19,202.91,Etanercept,0,0,N/A,100.0,N/A
NE,Enbrel,32958,6535675.17,198.3,Etanercept,0,0,N/A,100.0,N/A
NV,Enbrel,41329,8365071.89,202.4,Etanercept,0,0,N/A,100.0,N/A
NH,Enbrel,46208,9337183.63,202.07,Etanercept,0,0,N/A,100.0,N/A
NJ,Enbrel,273451,53274757.08,194.82,Etanercept,0,0,N/A,100.0,N/A
NM,Enbrel,71362,14342592.05,200.98,Etanercept,0,0,N/A,100.0,N/A
NY,Enbrel,652527,127579478.59,195.52,Etanercept,0,0,N/A,100.0,N/A
NC,Enbrel,311889,63851859.68,204.73,Etanercept,0,0,N/A,100.0,N/A
ND,Enbrel,11968,2416457.61,201.91,Etanercept,0,0,N/A,100.0,N/A
OH,Enbrel,286692,57736219.86,201.39,Etanercept,0,0,N/A,100.0,N/A
OK,Enbrel,104866,21329128.31,203.39,Etanercept,0,0,N/A,100.0,N/A
OR,Enbrel,99162,19356827.5,195.2,Etanercept,0,0,N/A,100.0,N/A
PA,Enbrel,363575,72116179.67,198.35,Etanercept,0,0,N/A,100.0,N/A
RI,Enbrel,30920,6220856.6,201.19,Etanercept,0,0,N/A,100.0,N/A
SC,Enbrel,120780,25021513.89,207.17,Etanercept,0,0,N/A,100.0,N/A
SD,Enbrel,12026,2407548.85,200.2,Etanercept,0,0,N/A,100.0,N/A
TN,Enbrel,243544,49242074.97,202.19,Etanercept,0,0,N/A,100.0,N/A
TX,Enbrel,756181,152888546.97,202.19,Etanercept,0,0,N/A,100.0,N/A
UT,Enbrel,47934,9714486.76,202.66,Etanercept,0,0,N/A,100.0,N/A
VT,Enbrel,22112,4267603.89,193.0,Etanercept,0,0,N/A,100.0,N/A
VA,Enbrel,154599,30898412.06,199.86,Etanercept,0,0,N/A,100.0,N/A
WA,Enbrel,175238,34367484.07,196.12,Etanercept,0,0,N/A,100.0,N/A
WV,Enbrel,65818,13126959.66,199.44,Etanercept,0,0,N/A,100.0,N/A
WI,Enbrel,154776,30938790.08,199.89,Etanercept,0,0,N/A,100.0,N/A
WY,Enbrel,9398,1900651.8,202.24,Etanercept,0,0,N/A,100.0,N/A
