state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost
AL,Trintellix,305153.0,4250143.32,13.93,Vortioxetine Hydrobromide,0,0,N/A
AK,Trintellix,25250.0,337512.76,13.37,Vortioxetine Hydrobromide,0,0,N/A
AZ,Trintellix,154745.0,2156594.9,13.94,Vortioxetine Hydrobromide,0,0,N/A
AR,Trintellix,98713.0,1420298.24,14.39,Vortioxetine Hydrobromide,0,0,N/A
CA,Trintellix,1621266.0,22736771.28,14.02,Vortioxetine Hydrobromide,0,0,N/A
CO,Trintellix,131605.0,1918349.68,14.58,Vortioxetine Hydrobromide,0,0,N/A
CT,Trintellix,311933.0,4328344.1,13.88,Vortioxetine Hydrobromide,0,0,N/A
DE,Trintellix,49225.0,660040.11,13.41,Vortioxetine Hydrobromide,0,0,N/A
FL,Trintellix,925389.0,12820733.33,13.85,Vortioxetine Hydrobromide,0,0,N/A
GA,Trintellix,390171.0,5465396.13,14.01,Vortioxetine Hydrobromide,0,0,N/A
HI,Trintellix,56005.0,796096.27,14.21,Vortioxetine Hydrobromide,0,0,N/A
ID,Trintellix,102427.0,1412790.96,13.79,Vortioxetine Hydrobromide,0,0,N/A
IL,Trintellix,306733.0,4417500.51,14.4,Vortioxetine Hydrobromide,0,0,N/A
IN,Trintellix,654800.0,9105473.53,13.91,Vortioxetine Hydrobromide,0,0,N/A
IA,Trintellix,200692.0,2864012.55,14.27,Vortioxetine Hydrobromide,0,0,N/A
KS,Trintellix,157026.0,2198104.83,14.0,Vortioxetine Hydrobromide,0,0,N/A
KY,Trintellix,328441.0,4562702.27,13.89,Vortioxetine Hydrobromide,0,0,N/A
LA,Trintellix,275690.0,3826682.57,13.88,Vortioxetine Hydrobromide,0,0,N/A
ME,Trintellix,62961.0,879214.03,13.96,Vortioxetine Hydrobromide,0,0,N/A
MD,Trintellix,192695.0,2706984.55,14.05,Vortioxetine Hydrobromide,0,0,N/A
MA,Trintellix,360828.0,4994270.86,13.84,Vortioxetine Hydrobromide,0,0,N/A
MI,Trintellix,795429.0,11002002.35,13.83,Vortioxetine Hydrobromide,0,0,N/A
MN,Trintellix,194673.0,2811340.21,14.44,Vortioxetine Hydrobromide,0,0,N/A
MS,Trintellix,222280.0,3157907.21,14.21,Vortioxetine Hydrobromide,0,0,N/A
MO,Trintellix,595739.0,8360020.57,14.03,Vortioxetine Hydrobromide,0,0,N/A
MT,Trintellix,38031.0,550109.77,14.46,Vortioxetine Hydrobromide,0,0,N/A
NE,Trintellix,109646.0,1544801.34,14.09,Vortioxetine Hydrobromide,0,0,N/A
NV,Trintellix,47440.0,655653.02,13.82,Vortioxetine Hydrobromide,0,0,N/A
NH,Trintellix,83903.0,1182650.69,14.1,Vortioxetine Hydrobromide,0,0,N/A
NJ,Trintellix,359066.0,4914587.01,13.69,Vortioxetine Hydrobromide,0,0,N/A
NM,Trintellix,45691.0,623513.1,13.65,Vortioxetine Hydrobromide,0,0,N/A
NY,Trintellix,1305220.0,18059873.15,13.84,Vortioxetine Hydrobromide,0,0,N/A
NC,Trintellix,642960.0,9118887.62,14.18,Vortioxetine Hydrobromide,0,0,N/A
ND,Trintellix,29297.0,410749.6,14.02,Vortioxetine Hydrobromide,0,0,N/A
OH,Trintellix,834816.0,11619214.09,13.92,Vortioxetine Hydrobromide,0,0,N/A
OK,Trintellix,259333.0,3636412.56,14.02,Vortioxetine Hydrobromide,0,0,N/A
OR,Trintellix,81645.0,1155321.31,14.15,Vortioxetine Hydrobromide,0,0,N/A
PA,Trintellix,674348.0,9295983.38,13.79,Vortioxetine Hydrobromide,0,0,N/A
RI,Trintellix,44768.0,648492.33,14.49,Vortioxetine Hydrobromide,0,0,N/A
SC,Trintellix,312678.0,4361730.61,13.95,Vortioxetine Hydrobromide,0,0,N/A
SD,Trintellix,32827.0,472393.89,14.39,Vortioxetine Hydrobromide,0,0,N/A
TN,Trintellix,537069.0,7456509.27,13.88,Vortioxetine Hydrobromide,0,0,N/A
TX,Trintellix,999891.0,14040483.82,14.04,Vortioxetine Hydrobromide,0,0,N/A
UT,Trintellix,74523.0,1041983.0,13.98,Vortioxetine Hydrobromide,0,0,N/A
VT,Trintellix,16446.0,235775.39,14.34,Vortioxetine Hydrobromide,0,0,N/A
VA,Trintellix,258461.0,3658899.72,14.16,Vortioxetine Hydrobromide,0,0,N/A
WA,Trintellix,89035.0,1264724.26,14.2,Vortioxetine Hydrobromide,0,0,N/A
WV,Trintellix,114541.0,1589640.03,13.88,Vortioxetine Hydrobromide,0,0,N/A
WI,Trintellix,203514.0,2906851.29,14.28,Vortioxetine Hydrobromide,0,0,N/A
WY,Trintellix,12939.0,184224.84,14.24,Vortioxetine Hydrobromide,0,0,N/A
