state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,hypothetical_savings
AL,Trintellix,305153,4250143.32,13.93,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
AK,Trintellix,25250,337512.76,13.37,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
AZ,Trintellix,154745,2156594.9,13.94,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
AR,Trintellix,98713,1420298.24,14.39,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
CA,Trintellix,1621266,22736771.28,14.02,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
CO,Trintellix,131605,1918349.68,14.58,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
CT,Trintellix,311933,4328344.1,13.88,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
DE,Trintellix,49225,660040.11,13.41,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
FL,Trintellix,925389,12820733.33,13.85,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
GA,Trintellix,390171,5465396.13,14.01,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
HI,Trintellix,56005,796096.27,14.21,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
ID,Trintellix,102427,1412790.96,13.79,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
IL,Trintellix,306733,4417500.51,14.4,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
IN,Trintellix,654800,9105473.53,13.91,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
IA,Trintellix,200692,2864012.55,14.27,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
KS,Trintellix,157026,2198104.83,14.0,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
KY,Trintellix,328441,4562702.27,13.89,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
LA,Trintellix,275690,3826682.57,13.88,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
ME,Trintellix,62961,879214.03,13.96,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
MD,Trintellix,192695,2706984.55,14.05,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
MA,Trintellix,360828,4994270.86,13.84,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
MI,Trintellix,795429,11002002.35,13.83,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
MN,Trintellix,194673,2811340.21,14.44,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
MS,Trintellix,222280,3157907.21,14.21,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
MO,Trintellix,595739,8360020.57,14.03,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
MT,Trintellix,38031,550109.77,14.46,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
NE,Trintellix,109646,1544801.34,14.09,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
NV,Trintellix,47440,655653.02,13.82,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
NH,Trintellix,83903,1182650.69,14.1,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
NJ,Trintellix,359066,4914587.01,13.69,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
NM,Trintellix,45691,623513.1,13.65,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
NY,Trintellix,1305220,18059873.15,13.84,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
NC,Trintellix,642960,9118887.62,14.18,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
ND,Trintellix,29297,410749.6,14.02,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
OH,Trintellix,834816,11619214.09,13.92,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
OK,Trintellix,259333,3636412.56,14.02,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
OR,Trintellix,81645,1155321.31,14.15,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
PA,Trintellix,674348,9295983.38,13.79,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
RI,Trintellix,44768,648492.33,14.49,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
SC,Trintellix,312678,4361730.61,13.95,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
SD,Trintellix,32827,472393.89,14.39,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
TN,Trintellix,537069,7456509.27,13.88,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
TX,Trintellix,999891,14040483.82,14.04,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
UT,Trintellix,74523,1041983.0,13.98,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
VT,Trintellix,16446,235775.39,14.34,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
VA,Trintellix,258461,3658899.72,14.16,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
WA,Trintellix,89035,1264724.26,14.2,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
WV,Trintellix,114541,1589640.03,13.88,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
WI,Trintellix,203514,2906851.29,14.28,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
WY,Trintellix,12939,184224.84,14.24,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
