state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,hypothetical_savings
AL,Ambien,2480,45174.67,18.22,Zolpidem Tartrate,5324934,1040119.74,0.2,0.046552,44689.6
AK,Ambien,710,13409.16,18.89,Zolpidem Tartrate,271338,77379.88,0.29,0.260983,13206.0
AZ,Ambien,4860,93123.0,19.16,Zolpidem Tartrate,4634072,1102827.97,0.24,0.104765,91951.2
AR,Ambien,1050,20046.86,19.09,Zolpidem Tartrate,3758466,797923.7,0.21,0.027929,19824.0
CA,Ambien,38059,731630.79,19.22,Zolpidem Tartrate,21977692,4861602.52,0.22,0.172872,723121.0
CO,Ambien,2890,54888.46,18.99,Zolpidem Tartrate,3786576,930256.41,0.25,0.076264,54158.6
CT,Ambien,11355,232525.08,20.48,Zolpidem Tartrate,3232334,974938.44,0.3,0.350064,229143.9
DE,Ambien,1440,26074.67,18.11,Zolpidem Tartrate,939700,231185.76,0.25,0.153006,25718.4
FL,Ambien,17588,355622.84,20.22,Zolpidem Tartrate,22466907,5290017.05,0.24,0.078223,351408.24
GA,Ambien,5703,111220.71,19.5,Zolpidem Tartrate,9239617,2102836.49,0.23,0.061685,109896.81
HI,Ambien,886,11308.32,12.76,Zolpidem Tartrate,563519,128529.61,0.23,0.156979,11101.58
ID,Ambien,2262,69204.31,30.59,Zolpidem Tartrate,1719652,330094.34,0.19,0.131365,68764.8
IL,Ambien,7405,169049.11,22.83,Zolpidem Tartrate,7125635,1620136.06,0.23,0.103813,167353.0
IN,Ambien,3780,73001.99,19.31,Zolpidem Tartrate,5067911,1144434.29,0.23,0.074531,72122.4
IA,Ambien,2075,47105.07,22.7,Zolpidem Tartrate,2524561,687797.07,0.27,0.082125,46542.25
KS,Ambien,1357,32695.62,24.09,Zolpidem Tartrate,2535073,521189.21,0.21,0.0535,32405.16
KY,Ambien,4380,83737.22,19.12,Zolpidem Tartrate,3875929,750229.72,0.19,0.112878,82913.4
LA,Ambien,2513,47378.99,18.85,Zolpidem Tartrate,4790118,948892.76,0.2,0.052435,46867.45
ME,Ambien,2522,48587.67,19.27,Zolpidem Tartrate,1017462,259444.21,0.25,0.247259,47968.44
MD,Ambien,6836,142604.11,20.86,Zolpidem Tartrate,3415887,783951.93,0.23,0.199724,141026.68
MA,Ambien,17090,359929.48,21.06,Zolpidem Tartrate,4926179,1036925.14,0.21,0.345723,356326.5
MI,Ambien,5914,124225.78,21.01,Zolpidem Tartrate,6389457,1203059.96,0.19,0.092473,123129.48
MN,Ambien,4712,121316.32,25.75,Zolpidem Tartrate,3223889,877481.79,0.27,0.145946,120061.76
MS,Ambien,720,14112.36,19.6,Zolpidem Tartrate,2792699,468040.59,0.17,0.025775,13989.6
MO,Ambien,3261,61366.2,18.82,Zolpidem Tartrate,5996370,1375681.59,0.23,0.054353,60621.99
MT,Ambien,360,6966.12,19.35,Zolpidem Tartrate,954754,188620.08,0.2,0.037692,6894.0
NE,Ambien,1470,28134.82,19.14,Zolpidem Tartrate,1583317,412237.07,0.26,0.092757,27753.6
NV,Ambien,689,12741.5,18.49,Zolpidem Tartrate,2202361,481249.06,0.22,0.031275,12588.03
NH,Ambien,2432,46286.59,19.03,Zolpidem Tartrate,1137349,300033.54,0.26,0.213374,45648.64
