zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,lat,lon
02169,Humira Pen,2212,443525.73,200.51,Adalimumab,0,0,N/A,100.0,42.250739,-70.99593
33166,Humira Pen,390,71484.53,183.29,Adalimumab,0,0,N/A,100.0,25.824725,-80.30476
35976,Humira Pen,0,0,N/A,Adalimumab,0,0,N/A,N/A,34.350835000000004,-86.30475
03301,Humira Pen,2471,642187.57,259.89,Adalimumab,0,0,N/A,100.0,43.213705,-71.53774
77082,Humira Pen,0,0,N/A,Adalimumab,0,0,N/A,N/A,29.722704,-95.6314
32308,Humira Pen,308,65367.61,212.23,Adalimumab,0,0,N/A,100.0,30.531677,-84.16049
64804,Humira Pen,1330,421691.7,317.06,Adalimumab,0,0,N/A,100.0,37.047161,-94.51124
78258,Humira Pen,1816,366597.07,201.87,Adalimumab,0,0,N/A,100.0,29.649797,-98.50406
10041,Humira Pen,1260,258037.66,204.79,Adalimumab,0,0,N/A,100.0,40.703041999999996,-74.01009
45440,Humira Pen,796,154812.72,194.49,Adalimumab,0,0,N/A,100.0,39.674192,-84.11029
32224,Humira Pen,1944,472490.22,243.05,Adalimumab,0,0,N/A,100.0,30.284511,-81.47043
78550,Humira Pen,5420,1113319.95,205.41,Adalimumab,0,0,N/A,100.0,26.206602,-97.68776
02451,Humira Pen,0,0,N/A,Adalimumab,0,0,N/A,N/A,42.393029,-71.24771
10532,Humira Pen,2090,456738.26,218.54,Adalimumab,0,0,N/A,100.0,41.103664,-73.7958
91360,Humira Pen,1610,294968.89,183.21,Adalimumab,0,0,N/A,100.0,34.208837,-118.87348
15213,Humira Pen,4536,1208999.02,266.53,Adalimumab,0,0,N/A,100.0,40.443269,-79.95487
34601,Humira Pen,0,0,N/A,Adalimumab,0,0,N/A,N/A,28.566183,-82.38002
46526,Humira Pen,364,76292.58,209.59,Adalimumab,0,0,N/A,100.0,41.567559,-85.84885
85014,Humira Pen,1368,377536.92,275.98,Adalimumab,0,0,N/A,100.0,33.511325,-112.05711
85712,Humira Pen,966,310616.27,321.55,Adalimumab,0,0,N/A,100.0,32.249551,-110.8878
90031,Humira Pen,4441,1126817.03,253.73,Adalimumab,0,0,N/A,100.0,34.07871,-118.2161
59715,Humira Pen,1036,188991.3,182.42,Adalimumab,0,0,N/A,100.0,45.707153,-110.9878
71105,Humira Pen,3312,665119.7,200.82,Adalimumab,0,0,N/A,100.0,32.457903,-93.7133
55455,Humira Pen,1960,441653.96,225.33,Adalimumab,0,0,N/A,100.0,44.971965,-93.23588
48910,Humira Pen,4192,1014611.96,242.04,Adalimumab,0,0,N/A,100.0,42.704435,-84.54915
91709,Humira Pen,308,60340.28,195.91,Adalimumab,0,0,N/A,100.0,33.975267,-117.72305
70460,Humira Pen,0,0,N/A,Adalimumab,0,0,N/A,N/A,30.298048,-89.81176
96819,Humira Pen,2195,374205.89,170.48,Adalimumab,0,0,N/A,100.0,21.3452,-157.88165
55414,Humira Pen,924,179100.03,193.83,Adalimumab,0,0,N/A,100.0,44.980379,-93.23003
40743,Humira Pen,4095,955246.17,233.27,Adalimumab,0,0,N/A,100.0,37.134455,-84.045746
83814,Humira Pen,2588,516934.73,199.74,Adalimumab,0,0,N/A,100.0,47.66655,-116.7757
02215,Humira Pen,4370,1090175.82,249.47,Adalimumab,0,0,N/A,100.0,42.346997,-71.10215
