zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,lat,lon
02169,Aricept,0,0,N/A,Donepezil Hcl,35726,14379.08,0.4,0.0,42.250739,-70.99593
33166,Aricept,330,5523.21,16.74,Donepezil Hcl,224529,16573.93,0.07,0.146759,25.824725,-80.30476
35976,Aricept,0,0,N/A,Donepezil Hcl,59658,21383.66,0.36,0.0,34.350835000000004,-86.30475
03301,Aricept,0,0,N/A,Donepezil Hcl,88108,36490.36,0.41,0.0,43.213705,-71.53774
77082,Aricept,0,0,N/A,Donepezil Hcl,35406,11808.46,0.33,0.0,29.722704,-95.6314
32308,Aricept,0,0,N/A,Donepezil Hcl,243810,80663.45,0.33,0.0,30.531677,-84.16049
64804,Aricept,0,0,N/A,Donepezil Hcl,44786,15422.04,0.34,0.0,37.047161,-94.51124
78258,Aricept,0,0,N/A,Donepezil Hcl,143402,35934.79,0.25,0.0,29.649797,-98.50406
10041,Aricept,0,0,N/A,Donepezil Hcl,240795,79399.84,0.33,0.0,40.703041999999996,-74.01009
45440,Aricept,0,0,N/A,Donepezil Hcl,27774,8453.34,0.3,0.0,39.674192,-84.11029
32224,Aricept,0,0,N/A,Donepezil Hcl,55731,18270.05,0.33,0.0,30.284511,-81.47043
78550,Aricept,0,0,N/A,Donepezil Hcl,184609,47023.56,0.25,0.0,26.206602,-97.68776
02451,Aricept,0,0,N/A,Donepezil Hcl,5867,2146.32,0.37,0.0,42.393029,-71.24771
10532,Aricept,0,0,N/A,Donepezil Hcl,33116,10986.24,0.33,0.0,41.103664,-73.7958
91360,Aricept,0,0,N/A,Donepezil Hcl,77990,27371.11,0.35,0.0,34.208837,-118.87348
15213,Aricept,360,5982.0,16.62,Donepezil Hcl,213354,86985.68,0.41,0.168449,40.443269,-79.95487
34601,Aricept,0,0,N/A,Donepezil Hcl,23846,3760.88,0.16,0.0,28.566183,-82.38002
46526,Aricept,0,0,N/A,Donepezil Hcl,63693,25455.46,0.4,0.0,41.567559,-85.84885
85014,Aricept,0,0,N/A,Donepezil Hcl,13305,5330.82,0.4,0.0,33.511325,-112.05711
85712,Aricept,0,0,N/A,Donepezil Hcl,57215,28624.49,0.5,0.0,32.249551,-110.8878
90031,Aricept,0,0,N/A,Donepezil Hcl,151455,34490.69,0.23,0.0,34.07871,-118.2161
59715,Aricept,0,0,N/A,Donepezil Hcl,33796,9659.06,0.29,0.0,45.707153,-110.9878
71105,Aricept,0,0,N/A,Donepezil Hcl,123784,30435.51,0.25,0.0,32.457903,-93.7133
55455,Aricept,0,0,N/A,Donepezil Hcl,51880,14724.16,0.28,0.0,44.971965,-93.23588
48910,Aricept,0,0,N/A,Donepezil Hcl,10920,3090.64,0.28,0.0,42.704435,-84.54915
91709,Aricept,0,0,N/A,Donepezil Hcl,24105,6277.55,0.26,0.0,33.975267,-117.72305
96819,Aricept,0,0,N/A,Donepezil Hcl,40627,9736.17,0.24,0.0,21.3452,-157.88165
55414,Aricept,0,0,N/A,Donepezil Hcl,24362,7851.05,0.32,0.0,44.980379,-93.23003
40743,Aricept,0,0,N/A,Donepezil Hcl,157545,37177.1,0.24,0.0,37.134455,-84.045746
83814,Aricept,0,0,N/A,Donepezil Hcl,61588,18106.29,0.29,0.0,47.66655,-116.7757
02215,Aricept,0,0,N/A,Donepezil Hcl,106781,29952.0,0.28,0.0,42.346997,-71.10215
46952,Aricept,0,0,N/A,Donepezil Hcl,67307,29865.4,0.44,0.0,40.58119,-85.66324
28144,Aricept,0,0,N/A,Donepezil Hcl,47740,15906.45,0.33,0.0,35.679639,-80.46645
08619,Aricept,0,0,N/A,Donepezil Hcl,27069,7782.93,0.29,0.0,40.240558,-74.69588
22906,Aricept,0,0,N/A,Donepezil Hcl,140673,45416.54,0.32,0.0,38.040101,-78.485066
32763,Aricept,0,0,N/A,Donepezil Hcl,80775,19886.02,0.25,0.0,28.945857,-81.30512
66606,Aricept,0,0,N/A,Donepezil Hcl,151367,76665.09,0.51,0.0,39.058177,-95.71088
80026,Aricept,0,0,N/A,Donepezil Hcl,7814,12474.11,1.6,0.0,40.002156,-105.10036
74701,Aricept,0,0,N/A,Donepezil Hcl,28999,7241.89,0.25,0.0,34.009209,-96.38612
84145,Aricept,0,0,N/A,Donepezil Hcl,112465,35773.09,0.32,0.0,40.668068,-111.908297
94547,Aricept,0,0,N/A,Donepezil Hcl,439,246.91,0.56,0.0,38.005122,-122.25784
97401,Aricept,0,0,N/A,Donepezil Hcl,26382,10856.14,0.41,0.0,44.06092,-123.08275
14127,Aricept,0,0,N/A,Donepezil Hcl,26739,6715.84,0.25,0.0,42.759917,-78.75294
73104,Aricept,0,0,N/A,Donepezil Hcl,68606,20994.91,0.31,0.0,35.47596,-97.50586
01655,Aricept,0,0,N/A,Donepezil Hcl,10419,2469.25,0.24,0.0,42.364807,-71.896868
