zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost
02169,Enbrel,1120.0,222058.73,198.27,Etanercept,0,0,N/A
03301,Enbrel,2928.0,654757.76,223.62,Etanercept,0,0,N/A
77082,Enbrel,812.0,168176.91,207.11,Etanercept,0,0,N/A
32308,Enbrel,392.0,75271.89,192.02,Etanercept,0,0,N/A
64804,Enbrel,384.0,76096.2,198.17,Etanercept,0,0,N/A
78258,Enbrel,14276.0,2856937.97,200.12,Etanercept,0,0,N/A
10041,Enbrel,8744.0,1777306.88,203.26,Etanercept,0,0,N/A
45440,Enbrel,616.0,175468.26,284.85,Etanercept,0,0,N/A
32224,Enbrel,4592.0,940549.72,204.82,Etanercept,0,0,N/A
78550,Enbrel,8350.0,1999110.25,239.41,Etanercept,0,0,N/A
10532,Enbrel,1752.0,352503.3,201.2,Etanercept,0,0,N/A
91360,Enbrel,3760.0,766986.37,203.99,Etanercept,0,0,N/A
15213,Enbrel,9792.0,1837175.14,187.62,Etanercept,0,0,N/A
90031,Enbrel,12802.0,2629567.84,205.4,Etanercept,0,0,N/A
59715,Enbrel,1696.0,347740.69,205.04,Etanercept,0,0,N/A
55455,Enbrel,1932.0,413702.23,214.13,Etanercept,0,0,N/A
48910,Enbrel,9382.0,1823275.46,194.34,Etanercept,0,0,N/A
91709,Enbrel,758.0,154097.04,203.29,Etanercept,0,0,N/A
96819,Enbrel,7000.0,1134745.62,162.11,Etanercept,0,0,N/A
55414,Enbrel,932.0,177186.38,190.11,Etanercept,0,0,N/A
40743,Enbrel,4866.0,994305.12,204.34,Etanercept,0,0,N/A
83814,Enbrel,18066.0,3727600.99,206.33,Etanercept,0,0,N/A
02215,Enbrel,9516.0,1721698.41,180.93,Etanercept,0,0,N/A
28144,Enbrel,4318.0,885220.58,205.01,Etanercept,0,0,N/A
08619,Enbrel,2006.0,393169.41,196.0,Etanercept,0,0,N/A
22906,Enbrel,7920.0,1534563.71,193.76,Etanercept,0,0,N/A
32763,Enbrel,1008.0,207956.63,206.31,Etanercept,0,0,N/A
66606,Enbrel,6383.0,1319873.7,206.78,Etanercept,0,0,N/A
74701,Enbrel,2436.0,477236.3,195.91,Etanercept,0,0,N/A
84145,Enbrel,4172.0,836561.5,200.52,Etanercept,0,0,N/A
97401,Enbrel,11487.0,2335008.7,203.27,Etanercept,0,0,N/A
14127,Enbrel,11340.0,2168694.4,191.24,Etanercept,0,0,N/A
73104,Enbrel,5354.0,1093723.77,204.28,Etanercept,0,0,N/A
01655,Enbrel,504.0,103032.32,204.43,Etanercept,0,0,N/A
79912,Enbrel,4778.0,956304.01,200.15,Etanercept,0,0,N/A
75284,Enbrel,47453.0,9540205.95,201.05,Etanercept,0,0,N/A
44145,Enbrel,2545.0,507729.21,199.5,Etanercept,0,0,N/A
17201,Enbrel,2046.0,419392.18,204.98,Etanercept,0,0,N/A
02119,Enbrel,476.0,90084.64,189.25,Etanercept,0,0,N/A
53045,Enbrel,10085.0,1991951.69,197.52,Etanercept,0,0,N/A
92037,Enbrel,2688.0,537924.53,200.12,Etanercept,0,0,N/A
43701,Enbrel,4400.0,887502.71,201.71,Etanercept,0,0,N/A
10509,Enbrel,1094.0,222425.63,203.31,Etanercept,0,0,N/A
36305,Enbrel,4426.0,933692.79,210.96,Etanercept,0,0,N/A
06401,Enbrel,336.0,69618.66,207.2,Etanercept,0,0,N/A
30096,Enbrel,2487.0,388694.96,156.29,Etanercept,0,0,N/A
33437,Enbrel,20188.0,4085974.8,202.4,Etanercept,0,0,N/A
46260,Enbrel,23412.0,4711561.61,201.25,Etanercept,0,0,N/A
40295,Enbrel,9349.0,1894214.59,202.61,Etanercept,0,0,N/A
85032,Enbrel,38642.0,7731291.47,200.07,Etanercept,0,0,N/A
93130,Enbrel,2050.0,423000.36,206.34,Etanercept,0,0,N/A
24018,Enbrel,364.0,69463.29,190.83,Etanercept,0,0,N/A
63110,Enbrel,9921.0,2009856.72,202.59,Etanercept,0,0,N/A
77450,Enbrel,3732.0,805295.94,215.78,Etanercept,0,0,N/A
11235,Enbrel,3572.0,786212.68,220.1,Etanercept,0,0,N/A
91343,Enbrel,3052.0,627980.67,205.76,Etanercept,0,0,N/A
33870,Enbrel,1484.0,306757.01,206.71,Etanercept,0,0,N/A
34769,Enbrel,1354.0,268135.6,198.03,Etanercept,0,0,N/A
55432,Enbrel,1876.0,384646.71,205.04,Etanercept,0,0,N/A
30033,Enbrel,14348.0,2732663.51,190.46,Etanercept,0,0,N/A
34209,Enbrel,2834.0,560060.01,197.62,Etanercept,0,0,N/A
67502,Enbrel,2156.0,448201.01,207.89,Etanercept,0,0,N/A
35209,Enbrel,8236.0,1667237.25,202.43,Etanercept,0,0,N/A
19401,Enbrel,6076.0,1220265.69,200.83,Etanercept,0,0,N/A
80112,Enbrel,1064.0,208252.11,195.73,Etanercept,0,0,N/A
97339,Enbrel,3200.0,644038.75,201.26,Etanercept,0,0,N/A
33509,Enbrel,1110.0,219411.98,197.67,Etanercept,0,0,N/A
49503,Enbrel,20504.0,4030700.05,196.58,Etanercept,0,0,N/A
17837,Enbrel,1963.0,388381.56,197.85,Etanercept,0,0,N/A
46219,Enbrel,19969.0,3831496.69,191.87,Etanercept,0,0,N/A
72401,Enbrel,8316.0,1693797.74,203.68,Etanercept,0,0,N/A
60611,Enbrel,11230.0,2369754.46,211.02,Etanercept,0,0,N/A
34684,Enbrel,2010.0,392309.71,195.18,Etanercept,0,0,N/A
28260,Enbrel,23750.0,4895468.15,206.12,Etanercept,0,0,N/A
55905,Enbrel,10196.0,2144040.7,210.28,Etanercept,0,0,N/A
47304,Enbrel,4988.0,1062245.6,212.96,Etanercept,0,0,N/A
28275,Enbrel,7340.0,1423906.0,193.99,Etanercept,0,0,N/A
78730,Enbrel,532.0,105329.62,197.99,Etanercept,0,0,N/A
10314,Enbrel,10916.0,2289461.54,209.73,Etanercept,0,0,N/A
31419,Enbrel,3330.0,705824.81,211.96,Etanercept,0,0,N/A
97208,Enbrel,14060.0,2773077.03,197.23,Etanercept,0,0,N/A
37660,Enbrel,15501.0,3240340.15,209.04,Etanercept,0,0,N/A
20735,Enbrel,6280.0,1248771.82,198.85,Etanercept,0,0,N/A
76902,Enbrel,330.0,124219.92,376.42,Etanercept,0,0,N/A
33542,Enbrel,7134.0,1435579.83,201.23,Etanercept,0,0,N/A
63080,Enbrel,318.0,64560.43,203.02,Etanercept,0,0,N/A
60605,Enbrel,4176.0,855744.63,204.92,Etanercept,0,0,N/A
63156,Enbrel,336.0,64805.13,192.87,Etanercept,0,0,N/A
32751,Enbrel,336.0,75695.9,225.29,Etanercept,0,0,N/A
48313,Enbrel,2044.0,403716.08,197.51,Etanercept,0,0,N/A
95661,Enbrel,7696.0,1413246.94,183.63,Etanercept,0,0,N/A
48108,Enbrel,45651.0,8771029.94,192.13,Etanercept,0,0,N/A
48603,Enbrel,8775.0,1599479.13,182.28,Etanercept,0,0,N/A
44131,Enbrel,23342.0,4738973.42,203.02,Etanercept,0,0,N/A
75069,Enbrel,5404.0,947149.81,175.27,Etanercept,0,0,N/A
53215,Enbrel,7815.0,1572277.67,201.19,Etanercept,0,0,N/A
54220,Enbrel,12128.0,2919850.06,240.75,Etanercept,0,0,N/A
90048,Enbrel,7192.0,1237801.3,172.11,Etanercept,0,0,N/A
19140,Enbrel,2192.0,429367.01,195.88,Etanercept,0,0,N/A
48334,Enbrel,15972.0,3118887.32,195.27,Etanercept,0,0,N/A
49684,Enbrel,8922.0,1858128.11,208.26,Etanercept,0,0,N/A
17822,Enbrel,23797.0,4708034.58,197.84,Etanercept,0,0,N/A
92807,Enbrel,16628.0,2685072.33,161.48,Etanercept,0,0,N/A
10021,Enbrel,22200.0,4370227.08,196.86,Etanercept,0,0,N/A
20186,Enbrel,672.0,137961.4,205.3,Etanercept,0,0,N/A
39564,Enbrel,4176.0,866391.58,207.47,Etanercept,0,0,N/A
92880,Enbrel,2382.0,471131.59,197.79,Etanercept,0,0,N/A
71106,Enbrel,4488.0,954159.08,212.6,Etanercept,0,0,N/A
03104,Enbrel,7504.0,1521316.17,202.73,Etanercept,0,0,N/A
64111,Enbrel,7592.0,1509393.41,198.81,Etanercept,0,0,N/A
56001,Enbrel,728.0,148758.23,204.34,Etanercept,0,0,N/A
94022,Enbrel,18376.0,3551324.05,193.26,Etanercept,0,0,N/A
84110,Enbrel,336.0,104884.0,312.15,Etanercept,0,0,N/A
55805,Enbrel,11312.0,2225784.99,196.76,Etanercept,0,0,N/A
14221,Enbrel,8456.0,1644769.42,194.51,Etanercept,0,0,N/A
44143,Enbrel,1568.0,320789.99,204.59,Etanercept,0,0,N/A
08830,Enbrel,1894.0,370547.46,195.64,Etanercept,0,0,N/A
98101,Enbrel,8926.0,1734352.81,194.3,Etanercept,0,0,N/A
19063,Enbrel,4162.0,769310.31,184.84,Etanercept,0,0,N/A
32405,Enbrel,504.0,104103.17,206.55,Etanercept,0,0,N/A
30309,Enbrel,4928.0,969892.55,196.81,Etanercept,0,0,N/A
10461,Enbrel,2870.0,541847.47,188.8,Etanercept,0,0,N/A
55425,Enbrel,9563.0,1871872.43,195.74,Etanercept,0,0,N/A
99352,Enbrel,3248.0,665746.64,204.97,Etanercept,0,0,N/A
77070,Enbrel,756.0,154466.31,204.32,Etanercept,0,0,N/A
27710,Enbrel,7176.0,1278255.25,178.13,Etanercept,0,0,N/A
65804,Enbrel,2744.0,572148.56,208.51,Etanercept,0,0,N/A
89074,Enbrel,364.0,96049.97,263.87,Etanercept,0,0,N/A
03756,Enbrel,12950.0,2548482.37,196.79,Etanercept,0,0,N/A
43202,Enbrel,5560.0,1072518.3,192.9,Etanercept,0,0,N/A
10028,Enbrel,308.0,66038.5,214.41,Etanercept,0,0,N/A
37615,Enbrel,625.0,147959.02,236.73,Etanercept,0,0,N/A
60016,Enbrel,4888.0,959933.6,196.39,Etanercept,0,0,N/A
37203,Enbrel,18371.0,3713646.94,202.15,Etanercept,0,0,N/A
34109,Enbrel,3360.0,660378.9,196.54,Etanercept,0,0,N/A
32114,Enbrel,3342.0,665260.92,199.06,Etanercept,0,0,N/A
75601,Enbrel,10594.0,2139890.05,201.99,Etanercept,0,0,N/A
03102,Enbrel,3082.0,610731.59,198.16,Etanercept,0,0,N/A
25304,Enbrel,560.0,117011.59,208.95,Etanercept,0,0,N/A
33458,Enbrel,952.0,188657.96,198.17,Etanercept,0,0,N/A
60674,Enbrel,17980.0,3643196.02,202.62,Etanercept,0,0,N/A
33157,Enbrel,360.0,65825.4,182.85,Etanercept,0,0,N/A
33136,Enbrel,10531.0,2195141.78,208.45,Etanercept,0,0,N/A
33126,Enbrel,9135.0,1870376.54,204.75,Etanercept,0,0,N/A
18017,Enbrel,3878.0,858039.58,221.26,Etanercept,0,0,N/A
27607,Enbrel,818.0,165179.29,201.93,Etanercept,0,0,N/A
65615,Enbrel,1047.0,211286.47,201.8,Etanercept,0,0,N/A
20603,Enbrel,1876.0,369270.37,196.84,Etanercept,0,0,N/A
02445,Enbrel,24450.0,4778719.3,195.45,Etanercept,0,0,N/A
32159,Enbrel,1428.0,297445.61,208.3,Etanercept,0,0,N/A
90027,Enbrel,7006.0,1227281.12,175.18,Etanercept,0,0,N/A
54702,Enbrel,5584.0,1138422.7,203.87,Etanercept,0,0,N/A
73109,Enbrel,308.0,63593.08,206.47,Etanercept,0,0,N/A
78229,Enbrel,39189.0,7952714.9,202.93,Etanercept,0,0,N/A
92506,Enbrel,20449.0,3906548.34,191.04,Etanercept,0,0,N/A
78212,Enbrel,2380.0,606420.35,254.8,Etanercept,0,0,N/A
74136,Enbrel,9663.0,1944252.15,201.21,Etanercept,0,0,N/A
02118,Enbrel,9658.0,1913797.24,198.16,Etanercept,0,0,N/A
11557,Enbrel,6268.0,1244686.85,198.58,Etanercept,0,0,N/A
98664,Enbrel,3276.0,663149.28,202.43,Etanercept,0,0,N/A
35235,Enbrel,1486.0,298785.12,201.07,Etanercept,0,0,N/A
32955,Enbrel,6270.0,1310780.59,209.06,Etanercept,0,0,N/A
99204,Enbrel,11236.0,2268599.29,201.9,Etanercept,0,0,N/A
29202,Enbrel,560.0,114133.49,203.81,Etanercept,0,0,N/A
77030,Enbrel,19981.0,3910815.55,195.73,Etanercept,0,0,N/A
46250,Enbrel,13574.0,2693741.65,198.45,Etanercept,0,0,N/A
19713,Enbrel,9908.0,1949859.0,196.8,Etanercept,0,0,N/A
55435,Enbrel,19267.0,3759872.11,195.15,Etanercept,0,0,N/A
11042,Enbrel,5601.0,1096837.14,195.83,Etanercept,0,0,N/A
06708,Enbrel,672.0,136566.08,203.22,Etanercept,0,0,N/A
43623,Enbrel,1821.0,356312.92,195.67,Etanercept,0,0,N/A
98225,Enbrel,8018.0,1547407.63,192.99,Etanercept,0,0,N/A
34474,Enbrel,11858.0,2378397.26,200.57,Etanercept,0,0,N/A
02356,Enbrel,308.0,119563.18,388.19,Etanercept,0,0,N/A
90051,Enbrel,11704.0,2307049.61,197.12,Etanercept,0,0,N/A
64506,Enbrel,1094.0,232828.81,212.82,Etanercept,0,0,N/A
35233,Enbrel,13282.0,2723171.94,205.03,Etanercept,0,0,N/A
66215,Enbrel,1036.0,211864.01,204.5,Etanercept,0,0,N/A
97477,Enbrel,2912.0,562124.35,193.04,Etanercept,0,0,N/A
21202,Enbrel,1940.0,382649.03,197.24,Etanercept,0,0,N/A
13421,Enbrel,896.0,182593.52,203.79,Etanercept,0,0,N/A
19010,Enbrel,2860.0,600423.42,209.94,Etanercept,0,0,N/A
94401,Enbrel,364.0,75459.99,207.31,Etanercept,0,0,N/A
40475,Enbrel,7532.0,1541329.86,204.64,Etanercept,0,0,N/A
12110,Enbrel,4370.0,803962.53,183.97,Etanercept,0,0,N/A
85364,Enbrel,5152.0,1025998.96,199.15,Etanercept,0,0,N/A
41502,Enbrel,5502.0,1125764.76,204.61,Etanercept,0,0,N/A
08755,Enbrel,3444.0,640245.45,185.9,Etanercept,0,0,N/A
28561,Enbrel,1746.0,347241.99,198.88,Etanercept,0,0,N/A
45263,Enbrel,18343.0,3705982.4,202.04,Etanercept,0,0,N/A
02284,Enbrel,1384.0,304544.16,220.05,Etanercept,0,0,N/A
28803,Enbrel,17951.0,3931962.93,219.04,Etanercept,0,0,N/A
70072,Enbrel,336.0,89188.92,265.44,Etanercept,0,0,N/A
92103,Enbrel,3652.0,611286.15,167.38,Etanercept,0,0,N/A
21401,Enbrel,5681.0,1100332.98,193.69,Etanercept,0,0,N/A
37404,Enbrel,8579.0,1729788.02,201.63,Etanercept,0,0,N/A
44035,Enbrel,1512.0,299957.45,198.38,Etanercept,0,0,N/A
46825,Enbrel,11620.0,2336795.86,201.1,Etanercept,0,0,N/A
