zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost
02169,Zoloft,0,0,N/A,Sertraline Hcl,166050.0,32823.96,0.2
33166,Zoloft,0,0,N/A,Sertraline Hcl,188557.0,9066.55,0.05
35976,Zoloft,0,0,N/A,Sertraline Hcl,72838.0,12915.03,0.18
03301,Zoloft,390.0,10012.56,25.67,Sertraline Hcl,304854.0,73733.62,0.24
77082,Zoloft,0,0,N/A,Sertraline Hcl,73190.0,13591.67,0.19
32308,Zoloft,0,0,N/A,Sertraline Hcl,289715.0,57378.49,0.2
64804,Zoloft,0,0,N/A,Sertraline Hcl,108174.0,20927.68,0.19
78258,Zoloft,0,0,N/A,Sertraline Hcl,176444.0,32446.79,0.18
10041,Zoloft,0,0,N/A,Sertraline Hcl,196219.0,37506.93,0.19
45440,Zoloft,0,0,N/A,Sertraline Hcl,79869.0,15195.19,0.19
32224,Zoloft,0,0,N/A,Sertraline Hcl,177654.0,33504.43,0.19
78550,Zoloft,450.0,11251.1,25.0,Sertraline Hcl,287494.0,54578.46,0.19
02451,Zoloft,0,0,N/A,Sertraline Hcl,21782.0,6055.22,0.28
10532,Zoloft,0,0,N/A,Sertraline Hcl,60088.0,14655.52,0.24
91360,Zoloft,0,0,N/A,Sertraline Hcl,97556.0,18380.73,0.19
15213,Zoloft,0,0,N/A,Sertraline Hcl,679913.0,189800.52,0.28
34601,Zoloft,0,0,N/A,Sertraline Hcl,78544.0,11049.11,0.14
46526,Zoloft,0,0,N/A,Sertraline Hcl,124159.0,30174.51,0.24
85014,Zoloft,0,0,N/A,Sertraline Hcl,56767.0,16762.75,0.3
85712,Zoloft,0,0,N/A,Sertraline Hcl,119260.0,30504.7,0.26
90031,Zoloft,0,0,N/A,Sertraline Hcl,136574.0,24542.36,0.18
59715,Zoloft,0,0,N/A,Sertraline Hcl,124550.0,21648.82,0.17
71105,Zoloft,0,0,N/A,Sertraline Hcl,130057.0,23118.41,0.18
55455,Zoloft,0,0,N/A,Sertraline Hcl,68120.0,13081.18,0.19
48910,Zoloft,0,0,N/A,Sertraline Hcl,61135.0,12533.16,0.21
91709,Zoloft,0,0,N/A,Sertraline Hcl,58563.0,11876.58,0.2
70460,Zoloft,0,0,N/A,Sertraline Hcl,3255.0,620.63,0.19
96819,Zoloft,0,0,N/A,Sertraline Hcl,17852.0,5174.12,0.29
55414,Zoloft,0,0,N/A,Sertraline Hcl,22541.0,5709.74,0.25
40743,Zoloft,390.0,9421.62,24.16,Sertraline Hcl,318813.0,53140.07,0.17
83814,Zoloft,0,0,N/A,Sertraline Hcl,241515.0,37656.68,0.16
02215,Zoloft,0,0,N/A,Sertraline Hcl,228413.0,45774.06,0.2
