zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,lat,lon
02169,Trintellix,6755.0,93654.77,13.86,Vortioxetine Hydrobromide,0,0,N/A,1.0,42.250739,-70.99593
33166,Trintellix,390.0,5471.03,14.03,Vortioxetine Hydrobromide,0,0,N/A,1.0,25.824725,-80.30476
35976,Trintellix,4326.0,69259.01,16.01,Vortioxetine Hydrobromide,0,0,N/A,1.0,34.350835000000004,-86.30475
03301,Trintellix,2947.0,40720.07,13.82,Vortioxetine Hydrobromide,0,0,N/A,1.0,43.213705,-71.53774
32308,Trintellix,7373.0,100797.65,13.67,Vortioxetine Hydrobromide,0,0,N/A,1.0,30.531677,-84.16049
64804,Trintellix,12523.0,174849.43,13.96,Vortioxetine Hydrobromide,0,0,N/A,1.0,37.047161,-94.51124
78258,Trintellix,2322.0,31826.24,13.71,Vortioxetine Hydrobromide,0,0,N/A,1.0,29.649797,-98.50406
10041,Trintellix,450.0,5856.67,13.01,Vortioxetine Hydrobromide,0,0,N/A,1.0,40.703041999999996,-74.01009
45440,Trintellix,2730.0,36579.71,13.4,Vortioxetine Hydrobromide,0,0,N/A,1.0,39.674192,-84.11029
32224,Trintellix,1590.0,21471.48,13.5,Vortioxetine Hydrobromide,0,0,N/A,1.0,30.284511,-81.47043
78550,Trintellix,4048.0,56236.73,13.89,Vortioxetine Hydrobromide,0,0,N/A,1.0,26.206602,-97.68776
02451,Trintellix,1230.0,16626.89,13.52,Vortioxetine Hydrobromide,0,0,N/A,1.0,42.393029,-71.24771
91360,Trintellix,2670.0,34389.78,12.88,Vortioxetine Hydrobromide,0,0,N/A,1.0,34.208837,-118.87348
15213,Trintellix,8517.0,118962.56,13.97,Vortioxetine Hydrobromide,0,0,N/A,1.0,40.443269,-79.95487
34601,Trintellix,4020.0,55726.08,13.86,Vortioxetine Hydrobromide,0,0,N/A,1.0,28.566183,-82.38002
46526,Trintellix,865.0,12370.73,14.3,Vortioxetine Hydrobromide,0,0,N/A,1.0,41.567559,-85.84885
85712,Trintellix,7450.0,110895.83,14.89,Vortioxetine Hydrobromide,0,0,N/A,1.0,32.249551,-110.8878
90031,Trintellix,2260.0,31127.08,13.77,Vortioxetine Hydrobromide,0,0,N/A,1.0,34.07871,-118.2161
59715,Trintellix,1734.0,24212.08,13.96,Vortioxetine Hydrobromide,0,0,N/A,1.0,45.707153,-110.9878
71105,Trintellix,3318.0,46742.42,14.09,Vortioxetine Hydrobromide,0,0,N/A,1.0,32.457903,-93.7133
55455,Trintellix,706.0,9863.11,13.97,Vortioxetine Hydrobromide,0,0,N/A,1.0,44.971965,-93.23588
