zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,lat,lon
02169,Ambien,0,0,N/A,Zolpidem Tartrate,34697.0,6060.55,0.17,0.0,42.250739,-70.99593
33166,Ambien,0,0,N/A,Zolpidem Tartrate,16167.0,2984.93,0.18,0.0,25.824725,-80.30476
35976,Ambien,0,0,N/A,Zolpidem Tartrate,67155.0,11143.27,0.17,0.0,34.350835000000004,-86.30475
03301,Ambien,0,0,N/A,Zolpidem Tartrate,65609.0,16976.54,0.26,0.0,43.213705,-71.53774
77082,Ambien,0,0,N/A,Zolpidem Tartrate,27969.0,5631.38,0.2,0.0,29.722704,-95.6314
32308,Ambien,360.0,3520.32,9.78,Zolpidem Tartrate,149145.0,33825.57,0.23,0.002408,30.531677,-84.16049
64804,Ambien,0,0,N/A,Zolpidem Tartrate,59161.0,14598.07,0.25,0.0,37.047161,-94.51124
78258,Ambien,0,0,N/A,Zolpidem Tartrate,76384.0,16177.9,0.21,0.0,29.649797,-98.50406
10041,Ambien,0,0,N/A,Zolpidem Tartrate,79724.0,19468.35,0.24,0.0,40.703041999999996,-74.01009
45440,Ambien,0,0,N/A,Zolpidem Tartrate,19126.0,4142.75,0.22,0.0,39.674192,-84.11029
32224,Ambien,360.0,7074.72,19.65,Zolpidem Tartrate,90729.0,22242.13,0.25,0.003952,30.284511,-81.47043
78550,Ambien,0,0,N/A,Zolpidem Tartrate,65976.0,14354.37,0.22,0.0,26.206602,-97.68776
02451,Ambien,0,0,N/A,Zolpidem Tartrate,2868.0,501.0,0.17,0.0,42.393029,-71.24771
10532,Ambien,0,0,N/A,Zolpidem Tartrate,23270.0,7212.8,0.31,0.0,41.103664,-73.7958
91360,Ambien,720.0,12990.54,18.04,Zolpidem Tartrate,66922.0,14877.57,0.22,0.010644,34.208837,-118.87348
15213,Ambien,330.0,6197.36,18.78,Zolpidem Tartrate,127791.0,28491.23,0.22,0.002576,40.443269,-79.95487
34601,Ambien,0,0,N/A,Zolpidem Tartrate,27286.0,4481.77,0.16,0.0,28.566183,-82.38002
46526,Ambien,0,0,N/A,Zolpidem Tartrate,27673.0,6180.36,0.22,0.0,41.567559,-85.84885
85014,Ambien,0,0,N/A,Zolpidem Tartrate,12521.0,4350.64,0.35,0.0,33.511325,-112.05711
85712,Ambien,0,0,N/A,Zolpidem Tartrate,71960.0,25761.64,0.36,0.0,32.249551,-110.8878
90031,Ambien,0,0,N/A,Zolpidem Tartrate,51365.0,10317.46,0.2,0.0,34.07871,-118.2161
59715,Ambien,0,0,N/A,Zolpidem Tartrate,64962.0,14078.07,0.22,0.0,45.707153,-110.9878
71105,Ambien,330.0,6554.24,19.86,Zolpidem Tartrate,60911.0,13172.07,0.22,0.005389,32.457903,-93.7133
55455,Ambien,0,0,N/A,Zolpidem Tartrate,24928.0,7716.15,0.31,0.0,44.971965,-93.23588
48910,Ambien,0,0,N/A,Zolpidem Tartrate,16728.0,2951.39,0.18,0.0,42.704435,-84.54915
91709,Ambien,0,0,N/A,Zolpidem Tartrate,22170.0,6375.67,0.29,0.0,33.975267,-117.72305
70460,Ambien,0,0,N/A,Zolpidem Tartrate,570.0,36.54,0.06,0.0,30.298048,-89.81176
96819,Ambien,0,0,N/A,Zolpidem Tartrate,15087.0,4903.61,0.33,0.0,21.3452,-157.88165
55414,Ambien,0,0,N/A,Zolpidem Tartrate,10275.0,2013.58,0.2,0.0,44.980379,-93.23003
40743,Ambien,0,0,N/A,Zolpidem Tartrate,91698.0,17419.46,0.19,0.0,37.134455,-84.045746
83814,Ambien,0,0,N/A,Zolpidem Tartrate,101349.0,15463.48,0.15,0.0,47.66655,-116.7757
02215,Ambien,392.0,7470.51,19.06,Zolpidem Tartrate,56384.0,13066.06,0.23,0.006904,42.346997,-71.10215
46952,Ambien,930.0,18172.82,19.54,Zolpidem Tartrate,50731.0,12119.05,0.24,0.018002,40.58119,-85.66324
28144,Ambien,0,0,N/A,Zolpidem Tartrate,67859.0,19516.75,0.29,0.0,35.679639,-80.46645
08619,Ambien,390.0,7047.71,18.07,Zolpidem Tartrate,44732.0,12970.5,0.29,0.008643,40.240558,-74.69588
22906,Ambien,0,0,N/A,Zolpidem Tartrate,110727.0,23389.84,0.21,0.0,38.040101,-78.485066
32763,Ambien,0,0,N/A,Zolpidem Tartrate,57691.0,14089.85,0.24,0.0,28.945857,-81.30512
66606,Ambien,690.0,13104.82,18.99,Zolpidem Tartrate,106238.0,26230.67,0.25,0.006453,39.058177,-95.71088
80026,Ambien,0,0,N/A,Zolpidem Tartrate,22120.0,7546.44,0.34,0.0,40.002156,-105.10036
74701,Ambien,0,0,N/A,Zolpidem Tartrate,28823.0,4102.35,0.14,0.0,34.009209,-96.38612
84145,Ambien,0,0,N/A,Zolpidem Tartrate,296509.0,77297.81,0.26,0.0,40.668068,-111.908297
94547,Ambien,0,0,N/A,Zolpidem Tartrate,2520.0,385.93,0.15,0.0,38.005122,-122.25784
97401,Ambien,0,0,N/A,Zolpidem Tartrate,86508.0,23237.74,0.27,0.0,44.06092,-123.08275
14127,Ambien,940.0,17782.23,18.92,Zolpidem Tartrate,67780.0,12724.71,0.19,0.013679,42.759917,-78.75294
73104,Ambien,0,0,N/A,Zolpidem Tartrate,19372.0,4201.53,0.22,0.0,35.47596,-97.50586
01655,Ambien,0,0,N/A,Zolpidem Tartrate,4067.0,1260.56,0.31,0.0,42.364807,-71.896868
79912,Ambien,0,0,N/A,Zolpidem Tartrate,58574.0,13650.58,0.23,0.0,31.848055,-106.54487
75284,Ambien,0,0,N/A,Zolpidem Tartrate,883228.0,176437.13,0.2,0.0,32.767268,-96.777626
83704,Ambien,0,0,N/A,Zolpidem Tartrate,45816.0,9779.07,0.21,0.0,43.63123,-116.28716
44145,Ambien,0,0,N/A,Zolpidem Tartrate,57363.0,12950.42,0.23,0.0,41.454439,-81.92865
17201,Ambien,360.0,7074.72,19.65,Zolpidem Tartrate,112206.0,19767.22,0.18,0.003198,39.931123,-77.66139
02119,Ambien,0,0,N/A,Zolpidem Tartrate,6802.0,2092.69,0.31,0.0,42.324511,-71.08455
61107,Ambien,0,0,N/A,Zolpidem Tartrate,28045.0,5174.23,0.18,0.0,42.280019,-89.03347
47731,Ambien,0,0,N/A,Zolpidem Tartrate,23932.0,5414.86,0.23,0.0,37.997128,-87.574963
53045,Ambien,0,0,N/A,Zolpidem Tartrate,12274.0,3436.09,0.28,0.0,43.055315,-88.1503
26101,Ambien,0,0,N/A,Zolpidem Tartrate,41060.0,7186.49,0.18,0.0,39.265408,-81.53706
92037,Ambien,0,0,N/A,Zolpidem Tartrate,75809.0,15935.2,0.21,0.0,32.838761,-117.26159
43701,Ambien,0,0,N/A,Zolpidem Tartrate,64520.0,15489.58,0.24,0.0,39.949377,-82.00492
92352,Ambien,0,0,N/A,Zolpidem Tartrate,3420.0,2135.78,0.62,0.0,34.25629,-117.19132
10509,Ambien,0,0,N/A,Zolpidem Tartrate,48230.0,12011.15,0.25,0.0,41.41362,-73.59556
36305,Ambien,0,0,N/A,Zolpidem Tartrate,35027.0,9138.22,0.26,0.0,31.214832,-85.47402
06401,Ambien,0,0,N/A,Zolpidem Tartrate,870.0,89.81,0.1,0.0,41.34269,-73.07446
28801,Ambien,360.0,7150.84,19.86,Zolpidem Tartrate,159992.0,39428.22,0.25,0.002245,35.595661,-82.55632
30096,Ambien,0,0,N/A,Zolpidem Tartrate,83121.0,21088.55,0.25,0.0,33.979401,-84.15118
22902,Ambien,0,0,N/A,Zolpidem Tartrate,10599.0,1862.9,0.18,0.0,38.00847,-78.47803
33437,Ambien,0,0,N/A,Zolpidem Tartrate,144983.0,29767.84,0.21,0.0,26.522249,-80.15031
46260,Ambien,0,0,N/A,Zolpidem Tartrate,111262.0,25261.53,0.23,0.0,39.898107,-86.18232
40295,Ambien,360.0,7004.63,19.46,Zolpidem Tartrate,175369.0,35063.8,0.2,0.002049,38.188962,-85.676819
85032,Ambien,0,0,N/A,Zolpidem Tartrate,98415.0,24563.26,0.25,0.0,33.62414,-112.00416
93130,Ambien,0,0,N/A,Zolpidem Tartrate,3780.0,947.26,0.25,0.0,34.262834,-119.848555
24018,Ambien,0,0,N/A,Zolpidem Tartrate,62720.0,14598.05,0.23,0.0,37.229786,-80.02477
87111,Ambien,0,0,N/A,Zolpidem Tartrate,10554.0,2174.57,0.21,0.0,35.135303,-106.52223
63110,Ambien,0,0,N/A,Zolpidem Tartrate,144522.0,39316.67,0.27,0.0,38.622601,-90.26182
23225,Ambien,0,0,N/A,Zolpidem Tartrate,28820.0,7190.27,0.25,0.0,37.51918,-77.49851
92809,Ambien,0,0,N/A,Zolpidem Tartrate,2581.0,448.13,0.17,0.0,N/A,N/A
77450,Ambien,0,0,N/A,Zolpidem Tartrate,50395.0,10255.92,0.2,0.0,29.758799,-95.74751
11235,Ambien,8040.0,152450.96,18.96,Zolpidem Tartrate,308124.0,44603.75,0.14,0.02543,40.583803,-73.95019
91343,Ambien,0,0,N/A,Zolpidem Tartrate,3570.0,750.34,0.21,0.0,34.239503,-118.48224
33870,Ambien,0,0,N/A,Zolpidem Tartrate,88237.0,20169.66,0.23,0.0,27.483817,-81.42131
34769,Ambien,0,0,N/A,Zolpidem Tartrate,30100.0,5404.77,0.18,0.0,28.24934,-81.28749
74454,Ambien,0,0,N/A,Zolpidem Tartrate,8080.0,1530.86,0.19,0.0,35.867529,-95.52647
55432,Ambien,0,0,N/A,Zolpidem Tartrate,32542.0,9026.66,0.28,0.0,45.095674,-93.25336
30033,Ambien,0,0,N/A,Zolpidem Tartrate,57886.0,17078.66,0.3,0.0,33.811354,-84.28335
34209,Ambien,0,0,N/A,Zolpidem Tartrate,84032.0,18189.25,0.22,0.0,27.488866,-82.62737
43017,Ambien,0,0,N/A,Zolpidem Tartrate,67067.0,13819.29,0.21,0.0,40.109478,-83.12713
50702,Ambien,0,0,N/A,Zolpidem Tartrate,33559.0,10134.05,0.3,0.0,42.475886,-92.33578
67502,Ambien,0,0,N/A,Zolpidem Tartrate,79153.0,11114.89,0.14,0.0,38.094945,-97.929
35209,Ambien,0,0,N/A,Zolpidem Tartrate,163118.0,33765.68,0.21,0.0,33.468306,-86.80814
19401,Ambien,314.0,6044.87,19.25,Zolpidem Tartrate,28374.0,6492.46,0.23,0.010945,40.123708,-75.33843
80112,Ambien,0,0,N/A,Zolpidem Tartrate,57159.0,15803.81,0.28,0.0,39.579454,-104.88288
97339,Ambien,0,0,N/A,Zolpidem Tartrate,79417.0,15264.54,0.19,0.0,44.49893,-123.445033
33509,Ambien,0,0,N/A,Zolpidem Tartrate,21712.0,5659.24,0.26,0.0,28.119579,-82.451959
49503,Ambien,390.0,7664.28,19.65,Zolpidem Tartrate,242905.0,54609.66,0.22,0.001603,42.964176,-85.65885
17837,Ambien,0,0,N/A,Zolpidem Tartrate,28573.0,6100.43,0.21,0.0,40.965348,-76.9139
85308,Ambien,0,0,N/A,Zolpidem Tartrate,89636.0,21640.37,0.24,0.0,33.657722,-112.17825
46219,Ambien,0,0,N/A,Zolpidem Tartrate,256808.0,53378.84,0.21,0.0,39.78001,-86.04889
72401,Ambien,0,0,N/A,Zolpidem Tartrate,101197.0,19182.04,0.19,0.0,35.844795,-90.68443
60611,Ambien,720.0,13634.64,18.94,Zolpidem Tartrate,169811.0,50230.25,0.3,0.004222,41.904667,-87.62504
34684,Ambien,390.0,14972.75,38.39,Zolpidem Tartrate,48867.0,11729.54,0.24,0.007918,28.081325,-82.72751
17901,Ambien,0,0,N/A,Zolpidem Tartrate,15945.0,2745.86,0.17,0.0,40.68514,-76.2139
28260,Ambien,1110.0,21176.22,19.08,Zolpidem Tartrate,1005958.0,232125.25,0.23,0.001102,35.26002,-80.804151
44281,Ambien,0,0,N/A,Zolpidem Tartrate,18898.0,3820.14,0.2,0.0,41.037664,-81.73368
33009,Ambien,0,0,N/A,Zolpidem Tartrate,29900.0,5915.64,0.2,0.0,25.987068999999998,-80.15004
55905,Ambien,0,0,N/A,Zolpidem Tartrate,188259.0,44568.46,0.24,0.0,44.022513,-92.466826
47304,Ambien,0,0,N/A,Zolpidem Tartrate,84710.0,18182.24,0.21,0.0,40.215398,-85.43636
64055,Ambien,0,0,N/A,Zolpidem Tartrate,24348.0,6027.76,0.25,0.0,39.053255,-94.4061
11598,Ambien,0,0,N/A,Zolpidem Tartrate,46659.0,13616.01,0.29,0.0,40.633103,-73.71404
00901,Ambien,0,0,N/A,Zolpidem Tartrate,2940.0,1271.0,0.43,0.0,18.465426,-66.10786
28275,Ambien,1770.0,34252.21,19.35,Zolpidem Tartrate,768343.0,190381.94,0.25,0.002298,35.26002,-80.804151
33162,Ambien,0,0,N/A,Zolpidem Tartrate,17323.0,3179.87,0.18,0.0,25.929571,-80.17839
92260,Ambien,0,0,N/A,Zolpidem Tartrate,36439.0,8346.9,0.23,0.0,33.715672,-116.38496
66109,Ambien,0,0,N/A,Zolpidem Tartrate,2460.0,485.69,0.2,0.0,39.156275,-94.80033
92602,Ambien,0,0,N/A,Zolpidem Tartrate,14807.0,2995.67,0.2,0.0,33.73297,-117.76932
78730,Ambien,0,0,N/A,Zolpidem Tartrate,6450.0,1402.12,0.22,0.0,30.359935,-97.83125
10314,Ambien,390.0,7592.92,19.47,Zolpidem Tartrate,96014.0,28763.99,0.3,0.004045,40.606337,-74.14513
31419,Ambien,0,0,N/A,Zolpidem Tartrate,10515.0,2525.5,0.24,0.0,31.986249,-81.20259
44130,Ambien,0,0,N/A,Zolpidem Tartrate,45610.0,10474.23,0.23,0.0,41.378051,-81.77945
97208,Ambien,360.0,6505.68,18.07,Zolpidem Tartrate,452409.0,90124.01,0.2,0.000795,45.532165,-122.564824
37660,Ambien,0,0,N/A,Zolpidem Tartrate,180204.0,47052.71,0.26,0.0,36.547133,-82.55408
75417,Ambien,0,0,N/A,Zolpidem Tartrate,3510.0,730.63,0.21,0.0,33.462828,-95.193
20735,Ambien,0,0,N/A,Zolpidem Tartrate,14733.0,3141.74,0.21,0.0,38.753264,-76.89913
76902,Ambien,0,0,N/A,Zolpidem Tartrate,67217.0,15376.25,0.23,0.0,31.39577,-100.68959
98607,Ambien,0,0,N/A,Zolpidem Tartrate,8502.0,1932.2,0.23,0.0,45.60916,-122.40547
06438,Ambien,0,0,N/A,Zolpidem Tartrate,510.0,147.04,0.29,0.0,41.45307,-72.50345
33542,Ambien,390.0,6886.17,17.66,Zolpidem Tartrate,215997.0,47083.8,0.22,0.001802,28.238489,-82.181913
63080,Ambien,0,0,N/A,Zolpidem Tartrate,25539.0,6526.86,0.26,0.0,38.200244,-91.14089
77802,Ambien,360.0,6719.71,18.67,Zolpidem Tartrate,80230.0,18193.94,0.23,0.004467,30.655348,-96.34056
60605,Ambien,390.0,7792.33,19.98,Zolpidem Tartrate,11358.0,3106.76,0.27,0.033197,41.860019,-87.6187
27205,Ambien,0,0,N/A,Zolpidem Tartrate,1700.0,313.04,0.18,0.0,35.665973,-79.832161
63156,Ambien,0,0,N/A,Zolpidem Tartrate,166725.0,26130.1,0.16,0.0,38.6531,-90.243462
34202,Ambien,0,0,N/A,Zolpidem Tartrate,25407.0,6866.37,0.27,0.0,27.434755,-82.40211
92607,Ambien,0,0,N/A,Zolpidem Tartrate,685.0,81.86,0.12,0.0,33.640302,-117.769442
37174,Ambien,0,0,N/A,Zolpidem Tartrate,10196.0,2308.51,0.23,0.0,35.73062,-86.91144
33196,Ambien,0,0,N/A,Zolpidem Tartrate,11592.0,2796.89,0.24,0.0,25.650232,-80.45925
32751,Ambien,335.0,6654.18,19.86,Zolpidem Tartrate,49457.0,14029.35,0.28,0.006728,28.628359,-81.35942
87701,Ambien,0,0,N/A,Zolpidem Tartrate,7431.0,1514.51,0.2,0.0,35.594103,-105.08142
