year,state,brand_name,generic_name,sum_total_day_supply,sum_total_drug_cost,avg_drug_cost
2020,NY,"Humira(Cf) Pen Crohn's-Uc-Hs",Adalimumab,294,236527.546875,804.5154655612245
2020,NY,"Humira Pen Psor-Uveits-Adol Hs",Adalimumab,1014,405454.0390625,399.85605430226826
2019,NY,"Humira Pen Psor-Uveits-Adol Hs",Adalimumab,1902,717534.0234375,377.2523782531546
2018,NY,"Humira Pen Psor-Uveits-Adol Hs",Adalimumab,1566,553775.8671875,353.6244362627714
2017,NY,"Humira Pen Psoriasis-Uveitis",Adalimumab,754,248681.3828125,329.81615757625997
2016,NY,"Humira Pen Psoriasis-Uveitis",Adalimumab,1512,404167.1015625,267.30628410218253
2015,NY,"Humira Pen Psoriasis",Adalimumab,1605,370936.2265625,231.11291374610593
2020,NY,"Humira(Cf) Pen",Adalimumab,527931,118175107.94921875,223.84574489700123
2020,NY,Humira,Adalimumab,72291,16047209.703125,221.98074038434936
2020,NY,"Humira Pen",Adalimumab,277166,60062554.625,216.70246215264498
2015,NY,"Humira Pen Crohn's-Uc-Hs",Adalimumab,308,66486.65625,215.86576704545453
2020,NY,Humira(Cf),Adalimumab,48575,10440068.65234375,214.9267864610139
2019,NY,"Humira(Cf) Pen",Adalimumab,295173,61269602.8828125,207.57184052339645
2019,NY,Humira,Adalimumab,94070,19497510.671875,207.2659792906878
2019,NY,"Humira Pen",Adalimumab,464593,95760563.2734375,206.1171030847161
2018,NY,"Humira Pen",Adalimumab,728705,143126774.5546875,196.4125051353943
2019,NY,Humira(Cf),Adalimumab,27932,5422149.19140625,194.11961876722935
2018,NY,Humira,Adalimumab,145350,27934303.18359375,192.18646841137772
2017,NY,"Humira Pen",Adalimumab,677694,121537384.33203125,179.33961984617136
2018,NY,Humira(Cf),Adalimumab,1840,327259.3359375,177.8583347486413
2017,NY,Humira,Adalimumab,138187,24362546.921875,176.3012940571472
2018,NY,"Humira(Cf) Pen",Adalimumab,2380,414444.8203125,174.13647912289915
2016,NY,"Humira Pen",Adalimumab,620053,97459100.21484375,157.17866088035015
2016,NY,Humira,Adalimumab,151178,23496818.16015625,155.4248512360016
2015,NY,"Humira Pen",Adalimumab,551511,71173986.1796875,129.0527046236385
2015,NY,Humira,Adalimumab,151426,19205263.41796875,126.82936495693441
2014,NY,Humira,Adalimumab,680669,72616484.55078125,106.6839896495672
2013,NY,Humira,Adalimumab,630857,58201989.705078125,92.25860964541587
2020,NY,Lipitor,"Atorvastatin Calcium",131897,1742837.7409667969,13.213626852519745
2019,NY,Lipitor,"Atorvastatin Calcium",167027,2108570.000854492,12.624126643324086
2018,NY,Lipitor,"Atorvastatin Calcium",199398,2380690.5041122437,11.939390084716214
2017,NY,Lipitor,"Atorvastatin Calcium",230307,2429499.575073242,10.54896106098921
2016,NY,Lipitor,"Atorvastatin Calcium",313885,2751643.1736450195,8.76640544672418
2015,NY,Lipitor,"Atorvastatin Calcium",271758,2077792.9317321777,7.6457470680980055
2014,NY,Lipitor,"Atorvastatin Calcium",425034,2810050.3434906006,6.611354252814129
2013,NY,Lipitor,"Atorvastatin Calcium",1284579,7074939.832275391,5.5075941863251625
2013,NY,"Atorvastatin Calcium","Atorvastatin Calcium",102820501,70057136.49673888,0.6813537749318969
2014,NY,"Atorvastatin Calcium","Atorvastatin Calcium",125534747,53943714.95256378,0.42971142445974564
2015,NY,"Atorvastatin Calcium","Atorvastatin Calcium",145793505,46771307.56708962,0.3208051522397353
2016,NY,"Atorvastatin Calcium","Atorvastatin Calcium",169278136,48017853.43861328,0.2836624656512834
2017,NY,"Atorvastatin Calcium","Atorvastatin Calcium",191238633,54204207.890060425,0.2834375410436051
2018,NY,"Atorvastatin Calcium","Atorvastatin Calcium",214771151,58208247.65943527,0.27102451790387466
2019,NY,"Atorvastatin Calcium","Atorvastatin Calcium",237541155,56819427.86353874,0.23919824698814293
2020,NY,"Atorvastatin Calcium","Atorvastatin Calcium",258525057,51215942.880311966,0.19810823552129403
2020,NY,Aricept,"Donepezil Hcl",4004,73476.9912109375,18.350896905828545
2017,NY,Aricept,"Donepezil Hcl",10422,188334.87890625,18.07089607620898
2016,NY,Aricept,"Donepezil Hcl",12204,208585.80078125,17.09159298436988
2019,NY,Aricept,"Donepezil Hcl",3690,62846.52978515625,17.03157988757622
2018,NY,Aricept,"Donepezil Hcl",6112,102969.439453125,16.847094151362075
2015,NY,Aricept,"Donepezil Hcl",13534,215015.53198242188,15.887064576800789
2014,NY,"Aricept Odt","Donepezil Hcl",360,4706.419921875,13.073388671875
2014,NY,Aricept,"Donepezil Hcl",30566,385497.2388305664,12.611962272805288
2013,NY,Aricept,"Donepezil Hcl",268808,2785440.1407470703,10.362192125037463
2013,NY,"Donepezil Hcl Odt","Donepezil Hcl",90513,267272.17946624756,2.9528595833333062
2014,NY,"Donepezil Hcl Odt","Donepezil Hcl",100572,208244.07069396973,2.0705968927133767
2015,NY,"Donepezil Hcl Odt","Donepezil Hcl",88041,154822.1697883606,1.7585235264065673
2016,NY,"Donepezil Hcl Odt","Donepezil Hcl",80336,86345.40925598145,1.0748034412465326
2018,NY,"Donepezil Hcl Odt","Donepezil Hcl",73389,73662.12986755371,1.003721673105693
2017,NY,"Donepezil Hcl Odt","Donepezil Hcl",71432,70288.24015045166,0.9839881306760508
2013,NY,"Donepezil Hcl","Donepezil Hcl",18757670,17043851.67449951,0.9086337308684667
2019,NY,"Donepezil Hcl Odt","Donepezil Hcl",82753,72873.6400680542,0.880616292678866
2014,NY,"Donepezil Hcl","Donepezil Hcl",19269795,15253989.268938065,0.7916010143822528
2020,NY,"Donepezil Hcl Odt","Donepezil Hcl",71223,53514.67989349365,0.7513679554847964
2015,NY,"Donepezil Hcl","Donepezil Hcl",19404502,12872288.06378746,0.6633660613288329
2016,NY,"Donepezil Hcl","Donepezil Hcl",19750117,11139022.608003616,0.5639978035574987
2017,NY,"Donepezil Hcl","Donepezil Hcl",19462703,9390792.367675781,0.4825019611960261
2018,NY,"Donepezil Hcl","Donepezil Hcl",19604757,8248844.2959365845,0.42075728334386314
2019,NY,"Donepezil Hcl","Donepezil Hcl",19846822,7503659.559087753,0.378078644484631
2020,NY,"Donepezil Hcl","Donepezil Hcl",19204968,6578669.342287064,0.34255039332984377
2020,NY,"Enbrel Mini",Etanercept,39178,7736329.203125,197.4661596591199
2020,NY,"Enbrel Sureclick",Etanercept,443590,87402644.70800781,197.03474989969976
2020,NY,Enbrel,Etanercept,172823,33027619.54296875,191.10662089518613
2019,NY,"Enbrel Sureclick",Etanercept,435749,79893478.11328125,183.34747323179457
2019,NY,"Enbrel Mini",Etanercept,22046,4035341.20703125,183.04187639622833
2019,NY,Enbrel,Etanercept,190130,33921503.603515625,178.41215801565048
2018,NY,"Enbrel Mini",Etanercept,2072,363116.765625,175.2494042591699
2018,NY,"Enbrel Sureclick",Etanercept,448233,78410528.1484375,174.93251980206165
2018,NY,Enbrel,Etanercept,214900,36641833.283203125,170.50643686925605
2017,NY,"Enbrel Sureclick",Etanercept,454005,72656577.94921875,160.03475280937158
2017,NY,Enbrel,Etanercept,233586,36776770.50878906,157.44424113084287
2016,NY,Enbrel,Etanercept,750228,105265027.91210938,140.31071609178727
2015,NY,Enbrel,Etanercept,818454,94566393.0546875,115.54270985869395
2014,NY,Enbrel,Etanercept,843042,81570443.72558594,96.75727155418821
2013,NY,Enbrel,Etanercept,796089,66758077.62890625,83.85755566137234
2018,NY,Zoloft,"Sertraline Hcl",32742,552286.6159667969,16.86783385153005
2020,NY,Zoloft,"Sertraline Hcl",27241,454353.208984375,16.6790209237684
2019,NY,Zoloft,"Sertraline Hcl",27313,423081.8708496094,15.490128175213611
2017,NY,Zoloft,"Sertraline Hcl",28744,402126.5163574219,13.989928901942037
2016,NY,Zoloft,"Sertraline Hcl",37148,435396.5070800781,11.720590801121949
2015,NY,Zoloft,"Sertraline Hcl",38371,363047.7604980469,9.461514177322636
2014,NY,Zoloft,"Sertraline Hcl",35928,308640.40954589844,8.590525761130552
2013,NY,Zoloft,"Sertraline Hcl",37469,278939.8094482422,7.4445490791919235
2013,NY,"Sertraline Hcl","Sertraline Hcl",25379948,8673018.314121246,0.34172719006836605
2014,NY,"Sertraline Hcl","Sertraline Hcl",27368562,7363335.959974289,0.26904358219384306
2020,NY,"Sertraline Hcl","Sertraline Hcl",38229795,8310958.248077154,0.21739478979882457
2015,NY,"Sertraline Hcl","Sertraline Hcl",28993569,6268210.235431671,0.21619312322093465
2019,NY,"Sertraline Hcl","Sertraline Hcl",36708773,7768882.4816913605,0.21163558045624026
2017,NY,"Sertraline Hcl","Sertraline Hcl",32786774,6902456.558858871,0.21052563935868993
2018,NY,"Sertraline Hcl","Sertraline Hcl",34626845,7252574.278203964,0.20944946841688766
2016,NY,"Sertraline Hcl","Sertraline Hcl",31114178,6008607.001010895,0.19311475948395276
2020,NY,Trintellix,"Vortioxetine Hydrobromide",1313522,18177655.40600586,13.838866350168372
2019,NY,Trintellix,"Vortioxetine Hydrobromide",1281188,16826043.052856445,13.13315692377422
2018,NY,Trintellix,"Vortioxetine Hydrobromide",1005984,13095928.51953125,13.018028636172394
2017,NY,Trintellix,"Vortioxetine Hydrobromide",723521,8601748.304077148,11.888733435625433
2017,NY,Brintellix,"Vortioxetine Hydrobromide",1088,12290.669921875,11.296571619370404
2016,NY,Trintellix,"Vortioxetine Hydrobromide",219122,2372538.0725097656,10.827475436103018
2016,NY,Brintellix,"Vortioxetine Hydrobromide",149119,1539595.2492675781,10.324608193909416
2015,NY,Brintellix,"Vortioxetine Hydrobromide",290878,2669160.9287109375,9.17622140110609
2014,NY,Brintellix,"Vortioxetine Hydrobromide",100010,823628.4483642578,8.235460937548822
2018,NY,Intermezzo,"Zolpidem Tartrate",690,13537.9296875,19.62018795289855
2020,NY,Ambien,"Zolpidem Tartrate",79879,1553715.8715820312,19.450867832371852
2020,NY,"Ambien Cr","Zolpidem Tartrate",32833,621448.4477539062,18.927556048911345
2019,NY,Ambien,"Zolpidem Tartrate",84770,1558310.1215820312,18.382801953309322
2018,NY,Ambien,"Zolpidem Tartrate",86225,1524797.3032226562,17.683935091013698
2019,NY,"Ambien Cr","Zolpidem Tartrate",34209,597893.2624511719,17.477659751853952
2017,NY,Ambien,"Zolpidem Tartrate",85337,1486486.4985351562,17.419015181400287
2018,NY,"Ambien Cr","Zolpidem Tartrate",34959,600838.16015625,17.18693784594096
2017,NY,"Ambien Cr","Zolpidem Tartrate",40845,683183.2188720703,16.72623867969324
2016,NY,Ambien,"Zolpidem Tartrate",84085,1358999.7736816406,16.162214112881497
2016,NY,"Ambien Cr","Zolpidem Tartrate",41683,650632.5922851562,15.60906346196666
2015,NY,Ambien,"Zolpidem Tartrate",93735,1291619.5109863281,13.779479500574258
2015,NY,"Ambien Cr","Zolpidem Tartrate",49415,662061.0715332031,13.397977770579846
2018,NY,Edluar,"Zolpidem Tartrate",330,4382.9501953125,13.281667258522727
2017,NY,Edluar,"Zolpidem Tartrate",1565,19814.47021484375,12.66100333216853
2019,NY,Edluar,"Zolpidem Tartrate",1110,13973.900146484375,12.589099231067005
2016,NY,Edluar,"Zolpidem Tartrate",2160,26789.64990234375,12.402615695529514
2020,NY,Edluar,"Zolpidem Tartrate",1468,18192.83984375,12.392942672854224
2017,NY,Intermezzo,"Zolpidem Tartrate",480,5473.60009765625,11.403333536783855
2014,NY,Ambien,"Zolpidem Tartrate",107591,1212436.8159179688,11.268942717494667
2014,NY,"Ambien Cr","Zolpidem Tartrate",60320,679698.8000488281,11.268216181180838
2015,NY,Edluar,"Zolpidem Tartrate",2130,23744.10009765625,11.147464834580399
2016,NY,Intermezzo,"Zolpidem Tartrate",1050,10959.27001953125,10.43740001860119
2013,NY,"Ambien Cr","Zolpidem Tartrate",80426,713904.5294189453,8.87653904730989
2013,NY,Ambien,"Zolpidem Tartrate",111144,976654.8703613281,8.787292794584756
2015,NY,Intermezzo,"Zolpidem Tartrate",2884,24881.039794921875,8.627267612663617
2014,NY,Edluar,"Zolpidem Tartrate",2700,21107.739501953125,7.817681297019676
2014,NY,Intermezzo,"Zolpidem Tartrate",1410,10976.849853515625,7.784999896110373
2013,NY,Intermezzo,"Zolpidem Tartrate",720,5032.7099609375,6.989874945746528
2013,NY,Edluar,"Zolpidem Tartrate",1590,10651.610107421875,6.69912585372445
2013,NY,"Zolpidem Tartrate Er","Zolpidem Tartrate",1026430,3761450.8573303223,3.664595595735045
2014,NY,"Zolpidem Tartrate Er","Zolpidem Tartrate",894304,2635495.0391082764,2.9469789233954855
2015,NY,"Zolpidem Tartrate Er","Zolpidem Tartrate",615170,1581045.449623108,2.5700951763302955
2016,NY,"Zolpidem Tartrate Er","Zolpidem Tartrate",494927,905873.9811515808,1.8303183725106547
2017,NY,"Zolpidem Tartrate Er","Zolpidem Tartrate",531683,937364.9310684204,1.7630146742860322
2018,NY,"Zolpidem Tartrate Er","Zolpidem Tartrate",513545,798064.1706886292,1.5540296774160574
2019,NY,"Zolpidem Tartrate Er","Zolpidem Tartrate",480335,722875.7284736633,1.5049407777356705
2020,NY,"Zolpidem Tartrate Er","Zolpidem Tartrate",616385,756552.2605743408,1.2274021278492189
2016,NY,"Zolpidem Tartrate","Zolpidem Tartrate",16232236,6378307.67774868,0.39294079249147684
2015,NY,"Zolpidem Tartrate","Zolpidem Tartrate",18315792,6116372.439476967,0.33393982850847875
2017,NY,"Zolpidem Tartrate","Zolpidem Tartrate",15652596,4469890.910102844,0.2855686628660731
2018,NY,"Zolpidem Tartrate","Zolpidem Tartrate",16230527,4062489.820476532,0.25029931686608403
2019,NY,"Zolpidem Tartrate","Zolpidem Tartrate",16481086,3863430.7791490555,0.2344160317559811
2014,NY,"Zolpidem Tartrate","Zolpidem Tartrate",21782172,4956859.326372623,0.2275649703974711
2013,NY,"Zolpidem Tartrate","Zolpidem Tartrate",25158652,5502256.359018326,0.2187023517404003
2020,NY,"Zolpidem Tartrate","Zolpidem Tartrate",17027014,3464157.749947071,0.20345069017662587
