year,state,brand_name,generic_name,sum_total_day_supply,sum_total_drug_cost,avg_drug_cost
2020,UT,"Humira(Cf) Pen",Adalimumab,30493,6805726.8203125,223.18980816293904
2019,UT,"Humira(Cf) Pen",Adalimumab,11314,2500625.734375,221.0204820907725
2020,UT,"Humira Pen",Adalimumab,17213,3802647.61328125,220.9171912671382
2020,UT,Humira(Cf),Adalimumab,7836,1710055.3515625,218.23064721318275
2020,UT,Humira,Adalimumab,3640,778061.6796875,213.75320870535714
2019,UT,Humira,Adalimumab,4340,926496.6171875,213.47848322292626
2019,UT,"Humira Pen",Adalimumab,28639,5847672.0234375,204.18562182469708
2019,UT,Humira(Cf),Adalimumab,4639,940603.0703125,202.75987719605519
2018,UT,Humira,Adalimumab,11211,2199252.2890625,196.16914539849256
2017,UT,Humira,Adalimumab,12238,2304268.15234375,188.28796799671107
2018,UT,"Humira Pen",Adalimumab,38543,7252167.66015625,188.1578408571271
2016,UT,Humira,Adalimumab,9486,1611977.9140625,169.9323122562197
2017,UT,"Humira Pen",Adalimumab,34860,5850627.609375,167.8321173085198
2016,UT,"Humira Pen",Adalimumab,34275,5283273.125,154.14363603209335
2015,UT,Humira,Adalimumab,8910,1153109.5703125,129.41746019219977
2015,UT,"Humira Pen",Adalimumab,27423,3378153.6015625,123.18687239042045
2014,UT,Humira,Adalimumab,31151,3252737.857421875,104.41840895707601
2013,UT,Humira,Adalimumab,31447,2917006.541015625,92.75945371627262
2018,UT,Lipitor,"Atorvastatin Calcium",1050,13197.97021484375,12.569495442708334
2017,UT,Lipitor,"Atorvastatin Calcium",360,3230.679931640625,8.974110921223959
2015,UT,Lipitor,"Atorvastatin Calcium",720,5535.550048828125,7.688263956705729
2016,UT,Lipitor,"Atorvastatin Calcium",390,2931.639892578125,7.517025365584936
2013,UT,Lipitor,"Atorvastatin Calcium",4710,26592.419677734375,5.645948976164411
2014,UT,Lipitor,"Atorvastatin Calcium",690,3796.7100830078125,5.502478381170743
2013,UT,"Atorvastatin Calcium","Atorvastatin Calcium",5566709,3368379.1133728027,0.6050934427096517
2014,UT,"Atorvastatin Calcium","Atorvastatin Calcium",7916180,3385918.817008361,0.42772130206846753
2015,UT,"Atorvastatin Calcium","Atorvastatin Calcium",11170818,3515652.388114929,0.3147175424498841
2016,UT,"Atorvastatin Calcium","Atorvastatin Calcium",13987917,4151585.9646224976,0.29679801250053867
2017,UT,"Atorvastatin Calcium","Atorvastatin Calcium",16159012,4739057.400411606,0.293276433015311
2018,UT,"Atorvastatin Calcium","Atorvastatin Calcium",18230685,5081504.433086395,0.27873359849541557
2019,UT,"Atorvastatin Calcium","Atorvastatin Calcium",20341620,5106579.238559723,0.25104093177238207
2020,UT,"Atorvastatin Calcium","Atorvastatin Calcium",23234648,4198977.966333389,0.18072053281519002
2016,UT,Aricept,"Donepezil Hcl",360,6267.35986328125,17.409332953559026
2015,UT,Aricept,"Donepezil Hcl",330,5327.8701171875,16.14506096117424
2014,UT,Aricept,"Donepezil Hcl",668,8647.210083007812,12.944925273963792
