year,state,brand_name,generic_name,sum_total_day_supply,sum_total_drug_cost,avg_drug_cost
2020,WY,Humira(Cf),Adalimumab,420,177089.046875,421.64058779761905
2016,WY,"Humira Pen Psoriasis-Uveitis",Adalimumab,308,86503.7109375,280.85620434253246
2020,WY,Humira,Adalimumab,2662,732671.984375,275.2336530334335
2019,WY,Humira,Adalimumab,3334,903663.33203125,271.04479065124474
2020,WY,"Humira Pen",Adalimumab,7272,1855142.171875,255.10755938875138
2019,WY,"Humira(Cf) Pen",Adalimumab,1792,442920.9296875,247.1656973702567
2018,WY,Humira,Adalimumab,3916,959966.34765625,245.13951676615167
2020,WY,"Humira(Cf) Pen",Adalimumab,7768,1870184.55859375,240.75496377365474
2019,WY,"Humira Pen",Adalimumab,7914,1840494.595703125,232.5618645063337
2017,WY,Humira,Adalimumab,4970,1071899.28515625,215.6739004338531
2018,WY,"Humira Pen",Adalimumab,8987,1784195.21484375,198.53067929717926
2016,WY,"Humira Pen",Adalimumab,7703,1422391.3203125,184.6542022994288
2017,WY,"Humira Pen",Adalimumab,9239,1674106.66796875,181.19998570935707
2016,WY,Humira,Adalimumab,6319,1034812.65234375,163.76209089155722
2015,WY,"Humira Pen",Adalimumab,6160,975655.203125,158.38558492288962
2015,WY,Humira,Adalimumab,6862,947466.21875,138.07435423345964
2014,WY,Humira,Adalimumab,13273,1558109.751953125,117.38941851526596
2013,WY,Humira,Adalimumab,9008,846576.736328125,93.98054355329984
2020,WY,Lipitor,"Atorvastatin Calcium",360,4042.800048828125,11.23000013563368
2016,WY,Lipitor,"Atorvastatin Calcium",540,4575.10009765625,8.472407588252315
2015,WY,Lipitor,"Atorvastatin Calcium",360,2288.25,6.35625
2013,WY,Lipitor,"Atorvastatin Calcium",330,202.6999969482422,0.6142424149946732
2013,WY,"Atorvastatin Calcium","Atorvastatin Calcium",1136591,650750.4976272583,0.5725458829317304
2014,WY,"Atorvastatin Calcium","Atorvastatin Calcium",1517763,590367.4393997192,0.3889720854966943
2015,WY,"Atorvastatin Calcium","Atorvastatin Calcium",1908305,595818.4708734117,0.3122239216862146
2016,WY,"Atorvastatin Calcium","Atorvastatin Calcium",2408641,684371.4995059967,0.28413179859763105
2017,WY,"Atorvastatin Calcium","Atorvastatin Calcium",2963891,738189.2695960999,0.24906086951109196
2018,WY,"Atorvastatin Calcium","Atorvastatin Calcium",3528227,862892.2676849365,0.24456823999276026
2019,WY,"Atorvastatin Calcium","Atorvastatin Calcium",3892448,906444.0786552429,0.23287249531791893
2020,WY,"Atorvastatin Calcium","Atorvastatin Calcium",4357964,940456.5299911499,0.21580181249573194
2013,WY,Aricept,"Donepezil Hcl",1769,17973.60009765625,10.160316618234171
2017,WY,"Donepezil Hcl Odt","Donepezil Hcl",212,511.82000732421875,2.4142453175670697
2013,WY,"Donepezil Hcl","Donepezil Hcl",272450,205282.40956115723,0.7534681943885382
2014,WY,"Donepezil Hcl","Donepezil Hcl",280969,177989.72941207886,0.6334852934383468
2015,WY,"Donepezil Hcl","Donepezil Hcl",281700,155349.30054092407,0.5514707154452398
2016,WY,"Donepezil Hcl","Donepezil Hcl",288457,126474.83004760742,0.43845297582519205
2020,WY,"Donepezil Hcl","Donepezil Hcl",286857,114596.20012283325,0.3994889443968014
2018,WY,"Donepezil Hcl","Donepezil Hcl",281425,112271.16028404236,0.3989381195133423
2017,WY,"Donepezil Hcl","Donepezil Hcl",292554,112048.38013076782,0.38300067724511655
2019,WY,"Donepezil Hcl","Donepezil Hcl",285247,98908.43015861511,0.34674660963521126
2014,WY,"Donepezil Hcl Odt","Donepezil Hcl",720,234.0199966430664,0.32502777311537
2020,WY,"Enbrel Sureclick",Etanercept,4172,851088.6796875,204.00016291646693
2020,WY,Enbrel,Etanercept,5226,1049563.1484375,200.8348925444891
2019,WY,Enbrel,Etanercept,4566,867723.4921875,190.04018663764782
2019,WY,"Enbrel Sureclick",Etanercept,4884,921983.20703125,188.77625041589886
2018,WY,"Enbrel Sureclick",Etanercept,4239,745772.09375,175.9311379452701
2018,WY,Enbrel,Etanercept,4682,809718.04296875,172.9427686819201
2017,WY,"Enbrel Sureclick",Etanercept,6084,958416.6484375,157.5306785728961
2017,WY,Enbrel,Etanercept,4550,693496.265625,152.41676167582418
2016,WY,Enbrel,Etanercept,11231,1545876.1796875,137.64368085544476
2015,WY,Enbrel,Etanercept,12804,1471115.50390625,114.89499405703296
2014,WY,Enbrel,Etanercept,13073,1249975.740234375,95.61506465496635
2013,WY,Enbrel,Etanercept,14521,1195346.4140625,82.31846388420219
2020,WY,Zoloft,"Sertraline Hcl",390,4944.68994140625,12.678692157451923
2013,WY,"Sertraline Hcl","Sertraline Hcl",592015,179172.5707511902,0.3026487010484366
2014,WY,"Sertraline Hcl","Sertraline Hcl",639351,166442.68990516663,0.26033069457178704
2020,WY,"Sertraline Hcl","Sertraline Hcl",1002437,205709.07967185974,0.20520898537450208
2015,WY,"Sertraline Hcl","Sertraline Hcl",681874,134665.77034378052,0.19749362835916975
2019,WY,"Sertraline Hcl","Sertraline Hcl",930445,182613.57990646362,0.19626477643113094
2018,WY,"Sertraline Hcl","Sertraline Hcl",908345,163997.5203857422,0.18054540993316656
