state,year,brand_name,generic_name,sum_total_day_supply,sum_total_drug_cost,avg_drug_cost
AA,2017,"Atorvastatin Calcium","Atorvastatin Calcium",510,155.22000122070312,0.30435294357000614
AA,2020,"Atorvastatin Calcium","Atorvastatin Calcium",7942,1812.250015258789,0.22818559748914494
AA,2019,"Atorvastatin Calcium","Atorvastatin Calcium",4639,1027.9700317382812,0.22159302257777133
AA,2018,"Atorvastatin Calcium","Atorvastatin Calcium",6425,1279.3199768066406,0.1991159496975316
AA,2016,"Atorvastatin Calcium","Atorvastatin Calcium",420,83.23999786376953,0.19819047110421317
AA,2013,"Donepezil Hcl","Donepezil Hcl",1560,956.5,0.6131410256410257
AA,2019,"Donepezil Hcl","Donepezil Hcl",550,181.3699951171875,0.32976362748579546
AA,2019,"Sertraline Hcl","Sertraline Hcl",4542,2024.469970703125,0.4457221423828985
AA,2013,"Sertraline Hcl","Sertraline Hcl",720,292.8399963378906,0.4067222171359592
AA,2020,"Sertraline Hcl","Sertraline Hcl",4029,1078.8800048828125,0.26777860632484796
AA,2016,"Sertraline Hcl","Sertraline Hcl",1050,261.29998779296875,0.2488571312313988
AA,2015,"Sertraline Hcl","Sertraline Hcl",1713,304.9700012207031,0.17803269189766674
AA,2018,"Sertraline Hcl","Sertraline Hcl",522,80.38999938964844,0.15400383024836867
AA,2019,"Zolpidem Tartrate Er","Zolpidem Tartrate",765,1971.3299560546875,2.576901903339461
AA,2020,"Zolpidem Tartrate Er","Zolpidem Tartrate",356,619.6599731445312,1.74061790209138
AA,2020,"Zolpidem Tartrate","Zolpidem Tartrate",375,141.1699981689453,0.3764533284505208
AA,2019,"Zolpidem Tartrate","Zolpidem Tartrate",1457,397.11998748779297,0.27256004631969316
AE,2013,"Atorvastatin Calcium","Atorvastatin Calcium",5940,4634.130126953125,0.7801565870291456
AE,2014,"Atorvastatin Calcium","Atorvastatin Calcium",10896,4628.879943847656,0.42482378339277316
AE,2016,"Atorvastatin Calcium","Atorvastatin Calcium",32924,10470.320068359375,0.318014824090614
AE,2015,"Atorvastatin Calcium","Atorvastatin Calcium",32172,10152.040115356445,0.31555514470211504
AE,2017,"Atorvastatin Calcium","Atorvastatin Calcium",44703,13182.749725341797,0.29489630953944473
AE,2018,"Atorvastatin Calcium","Atorvastatin Calcium",43439,12090.65005493164,0.27833628893233364
AE,2019,"Atorvastatin Calcium","Atorvastatin Calcium",39313,10203.81997680664,0.25955332782557017
AE,2020,"Atorvastatin Calcium","Atorvastatin Calcium",60480,11866.33999633789,0.19620271157966088
AE,2019,"Donepezil Hcl","Donepezil Hcl",2640,1205.3000183105469,0.4565530372388435
AE,2016,"Donepezil Hcl","Donepezil Hcl",2147,683.5400161743164,0.31836982588463736
AE,2020,"Donepezil Hcl","Donepezil Hcl",3194,894.8099975585938,0.2801534118843437
AE,2017,"Donepezil Hcl","Donepezil Hcl",4620,1258.9399871826172,0.2724978327235102
AE,2015,"Donepezil Hcl","Donepezil Hcl",3420,702.5800170898438,0.20543275353504203
AE,2018,"Donepezil Hcl","Donepezil Hcl",1050,185.83999633789062,0.17699047270275298
AE,2013,"Sertraline Hcl","Sertraline Hcl",1240,668.2299957275391,0.5388951578447896
AE,2014,"Sertraline Hcl","Sertraline Hcl",2027,680.2200012207031,0.33557967499788016
AE,2020,"Sertraline Hcl","Sertraline Hcl",9577,2138.8600158691406,0.2233329869342321
AE,2019,"Sertraline Hcl","Sertraline Hcl",5596,1077.490005493164,0.19254646274002216
AE,2017,"Sertraline Hcl","Sertraline Hcl",11526,1656.569969177246,0.14372461991820631
AE,2018,"Sertraline Hcl","Sertraline Hcl",6473,928.0399932861328,0.14337092434514642
AE,2016,"Sertraline Hcl","Sertraline Hcl",2474,347.5,0.1404607922392886
AE,2015,"Sertraline Hcl","Sertraline Hcl",5409,619.8000030517578,0.11458680034234753
AE,2017,"Zolpidem Tartrate","Zolpidem Tartrate",1638,643.5299987792969,0.3928754571302179
AE,2015,"Zolpidem Tartrate","Zolpidem Tartrate",1354,446.010009765625,0.3294017797382755
AE,2020,"Zolpidem Tartrate","Zolpidem Tartrate",1045,298.7200012207031,0.2858564604982805
AE,2018,"Zolpidem Tartrate","Zolpidem Tartrate",870,231.22999572753906,0.2657816042845277
AE,2014,"Zolpidem Tartrate","Zolpidem Tartrate",1430,331.8500061035156,0.2320629413311298
AE,2019,"Zolpidem Tartrate","Zolpidem Tartrate",524,96.37999725341797,0.1839312924683549
AE,2013,"Zolpidem Tartrate","Zolpidem Tartrate",1170,194.22000122070312,0.166000001043336
AK,2019,Humira(Cf),Adalimumab,1176,319218.359375,271.4441831420068
AK,2020,Humira(Cf),Adalimumab,2666,715748.25,268.472711927982
AK,2020,"Humira(Cf) Pen",Adalimumab,17893,4495402.42578125,251.23804983967193
AK,2019,"Humira(Cf) Pen",Adalimumab,6535,1552813.234375,237.61487901683245
AK,2018,Humira,Adalimumab,1632,365767.18359375,224.12204877068015
AK,2019,"Humira Pen",Adalimumab,9632,2095357.76171875,217.54129585950477
AK,2020,Humira,Adalimumab,1148,242829.25,211.52373693379792
AK,2018,"Humira Pen",Adalimumab,11541,2423051.2578125,209.95158632809117
AK,2019,Humira,Adalimumab,3470,725967.4921875,209.21253377161383
AK,2020,"Humira Pen",Adalimumab,2184,454866.7109375,208.27230354281136
AK,2016,Humira,Adalimumab,3302,631178.6796875,191.15041783388855
AK,2017,"Humira Pen",Adalimumab,8567,1554082.484375,181.40334824034085
AK,2017,Humira,Adalimumab,2487,440699.33203125,177.2011789430036
AK,2016,"Humira Pen",Adalimumab,7309,1174486.6171875,160.69046616329183
AK,2015,Humira,Adalimumab,2306,337572.48046875,146.38875996042933
