state,year,generic_name,is_generic,Sum(x.sum_total_day_supply),Sum(x.sum_total_drug_cost),avg_drug_cost
AA,2017,"Atorvastatin Calcium",1,510,155.22000122070312,0.30435294357000614
AA,2020,"Atorvastatin Calcium",1,7942,1812.250015258789,0.22818559748914494
AA,2019,"Atorvastatin Calcium",1,4639,1027.9700317382812,0.22159302257777133
AA,2018,"Atorvastatin Calcium",1,6425,1279.3199768066406,0.1991159496975316
AA,2016,"Atorvastatin Calcium",1,420,83.23999786376953,0.19819047110421317
AA,2013,"Donepezil Hcl",1,1560,956.5,0.6131410256410257
AA,2019,"Donepezil Hcl",1,550,181.3699951171875,0.32976362748579546
AA,2019,"Sertraline Hcl",1,4542,2024.469970703125,0.4457221423828985
AA,2013,"Sertraline Hcl",1,720,292.8399963378906,0.4067222171359592
AA,2020,"Sertraline Hcl",1,4029,1078.8800048828125,0.26777860632484796
AA,2016,"Sertraline Hcl",1,1050,261.29998779296875,0.2488571312313988
AA,2015,"Sertraline Hcl",1,1713,304.9700012207031,0.17803269189766674
AA,2018,"Sertraline Hcl",1,522,80.38999938964844,0.15400383024836867
AA,2019,"Zolpidem Tartrate",1,2222,2368.4499435424805,1.0659090655006662
AA,2020,"Zolpidem Tartrate",1,731,760.8299713134766,1.0408070743002416
AE,2013,"Atorvastatin Calcium",1,5940,4634.130126953125,0.7801565870291456
AE,2014,"Atorvastatin Calcium",1,10896,4628.879943847656,0.42482378339277316
AE,2016,"Atorvastatin Calcium",1,32924,10470.320068359375,0.318014824090614
AE,2015,"Atorvastatin Calcium",1,32172,10152.040115356445,0.31555514470211504
AE,2017,"Atorvastatin Calcium",1,44703,13182.749725341797,0.29489630953944473
AE,2018,"Atorvastatin Calcium",1,43439,12090.65005493164,0.27833628893233364
AE,2019,"Atorvastatin Calcium",1,39313,10203.81997680664,0.25955332782557017
AE,2020,"Atorvastatin Calcium",1,60480,11866.33999633789,0.19620271157966088
AE,2019,"Donepezil Hcl",1,2640,1205.3000183105469,0.4565530372388435
AE,2016,"Donepezil Hcl",1,2147,683.5400161743164,0.31836982588463736
AE,2020,"Donepezil Hcl",1,3194,894.8099975585938,0.2801534118843437
AE,2017,"Donepezil Hcl",1,4620,1258.9399871826172,0.2724978327235102
AE,2015,"Donepezil Hcl",1,3420,702.5800170898438,0.20543275353504203
AE,2018,"Donepezil Hcl",1,1050,185.83999633789062,0.17699047270275298
AE,2013,"Sertraline Hcl",1,1240,668.2299957275391,0.5388951578447896
AE,2014,"Sertraline Hcl",1,2027,680.2200012207031,0.33557967499788016
AE,2020,"Sertraline Hcl",1,9577,2138.8600158691406,0.2233329869342321
AE,2019,"Sertraline Hcl",1,5596,1077.490005493164,0.19254646274002216
AE,2017,"Sertraline Hcl",1,11526,1656.569969177246,0.14372461991820631
AE,2018,"Sertraline Hcl",1,6473,928.0399932861328,0.14337092434514642
AE,2016,"Sertraline Hcl",1,2474,347.5,0.1404607922392886
AE,2015,"Sertraline Hcl",1,5409,619.8000030517578,0.11458680034234753
AE,2017,"Zolpidem Tartrate",1,1638,643.5299987792969,0.3928754571302179
AE,2015,"Zolpidem Tartrate",1,1354,446.010009765625,0.3294017797382755
AE,2020,"Zolpidem Tartrate",1,1045,298.7200012207031,0.2858564604982805
AE,2018,"Zolpidem Tartrate",1,870,231.22999572753906,0.2657816042845277
AE,2014,"Zolpidem Tartrate",1,1430,331.8500061035156,0.2320629413311298
AE,2019,"Zolpidem Tartrate",1,524,96.37999725341797,0.1839312924683549
AE,2013,"Zolpidem Tartrate",1,1170,194.22000122070312,0.166000001043336
AK,2020,Adalimumab,0,23891,5908846.63671875,247.325211867178
AK,2019,Adalimumab,0,20813,4693356.84765625,225.5012178761471
AK,2018,Adalimumab,0,13173,2788818.44140625,211.70716172521446
AK,2017,Adalimumab,0,11054,1994781.81640625,180.4579171708205
AK,2016,Adalimumab,0,10611,1805665.296875,170.16919205305814
AK,2015,Adalimumab,0,11904,1592703.69921875,133.7956736574891
AK,2014,Adalimumab,0,12291,1288078.494140625,104.79851062896631
AK,2013,Adalimumab,0,9751,838072.0546875,85.94729306609578
AK,2020,"Atorvastatin Calcium",0,6310,81597.3017578125,12.931426586024168
AK,2019,"Atorvastatin Calcium",0,4855,58416.2802734375,12.032189551686406
AK,2013,"Atorvastatin Calcium",0,1150,6725.4298095703125,5.848199834408967
AK,2014,"Atorvastatin Calcium",0,77,63.95000076293945,0.8305194904277851
AK,2013,"Atorvastatin Calcium",1,826947,531089.5000305176,0.6422291876390114
AK,2014,"Atorvastatin Calcium",1,1053230,512523.1405181885,0.4866203398290862
AK,2015,"Atorvastatin Calcium",1,1357944,584760.7798423767,0.43062216103342754
AK,2016,"Atorvastatin Calcium",1,1667456,678864.2400016785,0.4071257292556316
AK,2019,"Atorvastatin Calcium",1,4115891,1383262.8895187378,0.33607860108995546
AK,2018,"Atorvastatin Calcium",1,2355078,771906.8007888794,0.3277627326096543
AK,2017,"Atorvastatin Calcium",1,1983631,645813.4575824738,0.3255713676497664
AK,2020,"Atorvastatin Calcium",1,4612720,1292483.2949180603,0.2801998159259743
AK,2015,"Donepezil Hcl",0,351,6398.89990234375,18.230484052261396
AK,2017,"Donepezil Hcl",0,364,6476.080078125,17.791428786057693
AK,2016,"Donepezil Hcl",0,727,12740.08984375,17.52419510832187
AK,2014,"Donepezil Hcl",0,330,4404.259765625,13.346241714015152
AK,2013,"Donepezil Hcl",0,1007,11045.779907226562,10.968996928725485
AK,2014,"Donepezil Hcl",1,116471,100651.28011322021,0.8641746023750136
AK,2015,"Donepezil Hcl",1,114732,99078.39949798584,0.8635637790501851
AK,2013,"Donepezil Hcl",1,121936,96433.67990493774,0.7908548739087533
AK,2016,"Donepezil Hcl",1,106771,78985.66986465454,0.7397670703154839
AK,2017,"Donepezil Hcl",1,112474,65499.499992370605,0.582352365812282
AK,2019,"Donepezil Hcl",1,168189,85067.1693649292,0.5057831925091962
AK,2018,"Donepezil Hcl",1,116262,56948.169982910156,0.48982616833453885
AK,2020,"Donepezil Hcl",1,168403,75324.27034759521,0.4472857986353878
AK,2020,Etanercept,0,7336,1504314.6015625,205.05924230677482
AK,2019,Etanercept,0,10719,1969825.359375,183.7695082913518
AK,2018,Etanercept,0,5464,953855.88671875,174.5709895166087
AK,2017,Etanercept,0,4912,798995.87890625,162.66202746462744
AK,2016,Etanercept,0,6200,975232.125,157.29550403225807
AK,2015,Etanercept,0,7319,915135.408203125,125.03557975175912
AK,2014,Etanercept,0,10275,1020817.703125,99.3496548053528
AK,2013,Etanercept,0,9580,839248.767578125,87.60425548832202
AK,2019,"Sertraline Hcl",0,322,7676.5400390625,23.840186456715838
AK,2018,"Sertraline Hcl",0,390,8814.08984375,22.600230368589745
AK,2020,"Sertraline Hcl",0,1032,18836.5,18.252422480620154
AK,2016,"Sertraline Hcl",0,330,5086.89990234375,15.414848188920455
AK,2015,"Sertraline Hcl",0,330,4280.10009765625,12.970000295928031
AK,2013,"Sertraline Hcl",0,360,3518.760009765625,9.77433336046007
AK,2013,"Sertraline Hcl",1,272646,114318.7901096344,0.41929384663495667
AK,2014,"Sertraline Hcl",1,293487,123045.94976425171,0.4192551961901267
AK,2015,"Sertraline Hcl",1,275094,97510.84011077881,0.354463710988894
AK,2016,"Sertraline Hcl",1,324262,99301.42991542816,0.3062382576910898
AK,2019,"Sertraline Hcl",1,513578,147189.7890701294,0.2865967566175525
AK,2020,"Sertraline Hcl",1,538967,151049.75996017456,0.28025790068812106
AK,2017,"Sertraline Hcl",1,343334,93799.66975784302,0.2732023911347056
AK,2018,"Sertraline Hcl",1,372896,97025.11004638672,0.2601934857075075
AK,2020,"Vortioxetine Hydrobromide",0,25250,337512.75390625,13.366841738861385
AK,2018,"Vortioxetine Hydrobromide",0,9579,127708.37133789062,13.332119358794303
AK,2019,"Vortioxetine Hydrobromide",0,17884,235924.09204101562,13.191908523876965
AK,2017,"Vortioxetine Hydrobromide",0,10360,125115.37060546875,12.076773224466095
AK,2016,"Vortioxetine Hydrobromide",0,7173,78114.96057128906,10.890138097210242
AK,2015,"Vortioxetine Hydrobromide",0,4343,46580.890625,10.72551016002763
AK,2014,"Vortioxetine Hydrobromide",0,1122,9823.830322265625,8.75564199845421
AK,2019,"Zolpidem Tartrate",0,1182,22541.20947265625,19.070397184988366
AK,2020,"Zolpidem Tartrate",0,710,13409.15966796875,18.886140377420773
AK,2017,"Zolpidem Tartrate",0,780,13677.4599609375,17.535205078125
AK,2018,"Zolpidem Tartrate",0,390,6822.89990234375,17.494615134214744
AK,2016,"Zolpidem Tartrate",0,330,5512.240234375,16.703758285984847
AK,2015,"Zolpidem Tartrate",0,1080,14760.25,13.666898148148148
AK,2013,"Zolpidem Tartrate",0,1080,12257.44970703125,11.34949046947338
AK,2014,"Zolpidem Tartrate",0,1080,11818.010009765625,10.942601860894097
AK,2015,"Zolpidem Tartrate",1,246753,133402.8100605011,0.5406329814044859
AK,2016,"Zolpidem Tartrate",1,204965,87785.11988639832,0.42829322023954486
AK,2013,"Zolpidem Tartrate",1,290035,106306.86987304688,0.366531176833992
AK,2014,"Zolpidem Tartrate",1,264530,91976.63990783691,0.34769833254389637
AK,2017,"Zolpidem Tartrate",1,192676,55571.469957351685,0.2884192632053379
AK,2020,"Zolpidem Tartrate",1,272443,77531.79004573822,0.28457985723890217
AK,2019,"Zolpidem Tartrate",1,273586,77524.48999404907,0.28336424376265257
AK,2018,"Zolpidem Tartrate",1,178064,49345.37005233765,0.27712154086360885
AL,2020,Adalimumab,0,277048,64439906.67578125,232.5947369256636
AL,2019,Adalimumab,0,268767,57722112.3984375,214.76636788905446
AL,2018,Adalimumab,0,260236,50892832.47265625,195.56415128059243
AL,2017,Adalimumab,0,238731,41802186.23828125,175.1016258394647
AL,2016,Adalimumab,0,227753,34656661.2578125,152.1677486479322
AL,2015,Adalimumab,0,203654,25270389.09375,124.08491408835575
AL,2014,Adalimumab,0,202826,20860684.609375,102.85015042142032
AL,2013,Adalimumab,0,180179,16097309.30859375,89.34065184396489
AL,2020,"Atorvastatin Calcium",0,360,5523.60009765625,15.343333604600694
AL,2019,"Atorvastatin Calcium",0,990,14484.08984375,14.630393781565656
AL,2018,"Atorvastatin Calcium",0,1437,14315.920166015625,9.96236615589118
AL,2016,"Atorvastatin Calcium",0,3351,30347.81005859375,9.056344392298941
AL,2015,"Atorvastatin Calcium",0,4710,35709.610107421875,7.581658196904857
AL,2017,"Atorvastatin Calcium",0,1440,10904.360107421875,7.572472296820747
AL,2014,"Atorvastatin Calcium",0,5063,32626.590408325195,6.444122142667429
AL,2013,"Atorvastatin Calcium",0,16149,92625.21984863281,5.735662879969832
AL,2013,"Atorvastatin Calcium",1,20010796,13514664.799118042,0.6753686759446272
AL,2014,"Atorvastatin Calcium",1,25520476,10825705.73480697,0.4241968580369335
AL,2015,"Atorvastatin Calcium",1,31198538,10714254.028689422,0.34342167022984926
AL,2016,"Atorvastatin Calcium",1,37112857,10496366.9972229,0.28282293107272505
AL,2017,"Atorvastatin Calcium",1,42403011,11099335.261528015,0.2617581865006713
AL,2018,"Atorvastatin Calcium",1,48063456,12463476.960639954,0.2593129582824829
AL,2019,"Atorvastatin Calcium",1,53164300,13507171.609100342,0.25406469396005105
AL,2020,"Atorvastatin Calcium",1,58653153,11734596.133274078,0.20006760989087966
AL,2018,"Donepezil Hcl",0,690,12498.3095703125,18.113492130887682
AL,2019,"Donepezil Hcl",0,360,6455.080078125,17.930777994791665
AL,2020,"Donepezil Hcl",0,346,6179.93017578125,17.861069872200144
AL,2017,"Donepezil Hcl",0,1080,18802,17.409259259259258
AL,2016,"Donepezil Hcl",0,976,16630.61962890625,17.03956929191214
AL,2015,"Donepezil Hcl",0,1494,23115.350341796875,15.472122049395498
AL,2014,"Donepezil Hcl",0,3786,51088.809814453125,13.49413888390204
AL,2013,"Donepezil Hcl",0,37385,395578.31994628906,10.58120422485727
AL,2013,"Donepezil Hcl",1,5808396,4752358.219717026,0.818187709604687
