state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,hypothetical_savings
AL,Humira Pen,63630,14473022.48,227.46,Adalimumab,0,0,N/A,100.0,N/A
AL,Lipitor,360,5523.6,15.34,Atorvastatin Calcium,58097308,11619203.9,0.2,0.00062,5450.4
AL,Aricept,346,6179.93,17.86,Donepezil Hcl,6879069,2297453.06,0.33,0.005029,6065.38
AL,Enbrel,159434,33297390.25,208.85,Etanercept,0,0,N/A,100.0,N/A
AL,Zoloft,1692,30275.54,17.89,Sertraline Hcl,10651834,2000434.54,0.19,0.015882,29948.4
AL,Trintellix,305153,4250143.32,13.93,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
AL,Ambien,2480,45174.67,18.22,Zolpidem Tartrate,5324934,1040119.74,0.2,0.046552,44689.6
AK,Humira Pen,2184,454866.72,208.27,Adalimumab,0,0,N/A,100.0,N/A
AK,Lipitor,6310,81597.3,12.93,Atorvastatin Calcium,4568548,1281577.54,0.28,0.137928,79821.5
AK,Aricept,0,0,N/A,Donepezil Hcl,168403,75324.27,0.45,0.0,N/A
AK,Enbrel,7336,1504314.58,205.06,Etanercept,0,0,N/A,100.0,N/A
AK,Zoloft,1032,18836.5,18.25,Sertraline Hcl,536529,150540.01,0.28,0.191978,18545.04
AK,Trintellix,25250,337512.76,13.37,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
AK,Ambien,710,13409.16,18.89,Zolpidem Tartrate,271338,77379.88,0.29,0.260983,13206.0
AZ,Humira Pen,59446,14043145.91,236.23,Adalimumab,0,0,N/A,100.0,N/A
AZ,Lipitor,3720,51951.48,13.97,Atorvastatin Calcium,75474552,15067108.3,0.2,0.004929,51224.4
AZ,Aricept,0,0,N/A,Donepezil Hcl,5804976,1906883.56,0.33,0.0,N/A
AZ,Enbrel,176273,35841299.07,203.33,Etanercept,0,0,N/A,100.0,N/A
AZ,Zoloft,1710,19992.85,11.69,Sertraline Hcl,12442742,2801549.44,0.23,0.013741,19596.6
AZ,Trintellix,154745,2156594.9,13.94,Vortioxetine Hydrobromide,0,0,N/A,100.0,N/A
AZ,Ambien,4860,93123.0,19.16,Zolpidem Tartrate,4634072,1102827.97,0.24,0.104765,91951.2
AR,Humira Pen,24309,5426554.99,223.23,Adalimumab,0,0,N/A,100.0,N/A
AR,Lipitor,1770,24622.85,13.91,Atorvastatin Calcium,33873917,6310097.61,0.19,0.005225,24284.4
AR,Aricept,0,0,N/A,Donepezil Hcl,3336830,962829.53,0.29,0.0,N/A
AR,Enbrel,68200,14057205.42,206.12,Etanercept,0,0,N/A,100.0,N/A
AR,Zoloft,1582,25506.43,16.12,Sertraline Hcl,7221428,1351071.46,0.19,0.021902,25201.26
